# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
9.604009732260722743e+00 7.007770558642794967e+00 -2.456838057574477041e+00 1.000000000000000000e+00 4.874369175202658555e-01 1.980099997500124775e+00 1.376477675781573984e+00 5.929805104771465607e-02 -1.364278186629011569e-01 -7.570805382550560569e-01 -4.313006947988545087e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.689008141305182509e-03 0.000000000000000000e+00
4.548120822691328335e+00 9.115862435140696718e+00 -5.932528756101516088e+00 1.853378931523269324e-01 8.534241157687029178e-01 8.412501541246752979e-01 1.827727910729096017e+00 -1.142093307304581778e-01 -7.591219178933468203e-01 7.144209409862355420e-01 8.069813714323899323e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.386061293213034951e+00 7.832759696642243696e+00 -3.542778523771263899e+00 4.427515103650283557e-01 6.689583060854468188e-01 1.310941813131455413e+00 1.615920063827103847e+00 -4.232635236804863782e-02 -9.252473877593694884e-02 1.603877177650148977e-01 2.023373556092670361e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.768290435342569467e+00 3.476141030923462605e+00 1.345750312956930372e+00 2.163513092555772663e-02 9.681811543583232482e-02 2.748568338670755451e-01 6.026344128332808969e-01 -3.678698774863147641e-02 -6.942983471468156843e-03 1.735471326949911963e-01 4.064998762718371322e-02 3.593373970774138559e-13 3.649067810071460194e-13 3.300356407436033646e-13 3.350361437934323838e-13
5.755565769288494060e+00 2.853679446491186766e+00 1.188651379409323638e+00 1.435184632384652048e-01 2.414213110946646437e-02 7.379405595495750481e-01 2.913986611908659374e-01 1.232917013088792313e-01 -1.253718142546213499e-01 -8.519555300718559820e-01 -2.055162039335073701e-02 5.453354510586566617e-13 5.187373967874275849e-13 5.054424489624870231e-13 5.120794196664113507e-13
4.483628032686894471e+00 1.750403706969988038e+00 1.260495769127308208e+00 1.548951115941438750e-01 0.000000000000000000e+00 7.673893454132376668e-01 0.000000000000000000e+00 8.725667769955261499e-02 -1.488911006396766434e-01 -6.583670610512053489e-01 -9.692794524522683336e-03 7.666827242513996055e-14 8.851007508972651497e-14 9.712749268059317487e-14 9.106725400496009162e-14
3.517318536497691106e+00 6.157172906778237476e+00 -1.191816886594581959e+00 8.871613900045451084e-02 4.152985423720859104e-01 5.760407661299277171e-01 1.269028979152445835e+00 -5.623801196629662352e-02 -3.364339559030305460e-01 3.769386097740322628e-01 4.275358904992312969e-02 8.451678349145549940e-13 8.551114460617070812e-13 7.384064198848530602e-13 7.343519238880991118e-13
4.770540085916501916e+00 4.364145335278950988e+00 6.204017357395841259e-01 2.622272634919018963e-01 1.828468401846317370e-01 1.004357873976205795e+00 8.354465333252323322e-01 5.253875928917582476e-03 -6.708165446888494921e-02 -3.213441197193546706e-01 -3.071180707970264621e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.032291221904388934e+00 2.033944791998589352e+00 1.421401375383217314e+00 1.455050403842058915e-01 2.388576247533979728e-16 7.431655368184509891e-01 2.388725928776993369e-14 6.032176119334679842e-02 -1.278766127713791834e-01 -5.525880999992544007e-01 9.672614401640135598e-03 5.281168297815996837e-13 5.124109720788892069e-13 5.008332073716537103e-13 5.108246275994476719e-13
6.584210450701793782e+00 7.770644041645460298e+00 -3.437875440563598062e+00 5.199108106923453487e-01 6.579885740144840733e-01 1.422235515834674668e+00 1.602453735256381240e+00 -4.334860972446640676e-02 -4.867353176373053619e-02 9.117807973489358564e-02 1.572271640272093762e-02 4.997574348710592806e-13 5.262669640349049160e-13 4.380180300498498491e-13 4.482115633502870011e-13
2.082733282300016864e+00 6.700055658186665930e+00 -2.058271338823979058e+00 1.790052833584944436e-02 5.336059990720276591e-01 2.483322777520168834e-01 1.441104438941326782e+00 -1.044381101672831325e-01 -6.535029698834873280e-01 7.953514245339963207e-01 7.085314142623821976e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.086433942609212666e+00 5.185407257565338490e+00 -2.578082973643986975e-01 9.331737834168029471e-16 2.942057070634093163e-01 9.331813070686735515e-14 1.064999977156840139e+00 -8.516297856306598302e-02 -3.870848040541282065e-01 6.723300110906770266e-01 6.976857830553083450e-02 2.244272082723199662e-13 2.430010402967863747e-13 2.072720644112300509e-13 1.890237098789437908e-13
2.237713016366424057e+00 5.526885560824235988e+00 -5.097346288175099716e-01 5.264433617108356389e-02 3.195590029605577809e-01 4.393227103233578457e-01 1.110768698108458796e+00 -8.679794641327981397e-02 -3.974404414292340704e-01 5.242090591921493292e-01 5.787511346353929609e-02 7.736312946596962670e-13 8.508641924712123661e-13 7.127636425952738053e-13 6.407563282045947162e-13
5.816830479317998126e+00 6.751603252553008971e+00 -1.906962624244894045e+00 3.417983611133751931e-01 4.925405105964396069e-01 1.149441512837839463e+00 1.383767709740828966e+00 -2.338009806128784132e-02 -2.090480843136595292e-03 3.685141779759966082e-03 1.290184272063888554e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.379596668481658739e+00 2.253904627281869910e+00 9.187859278665122531e-01 1.547177152097397590e-01 0.000000000000000000e+00 7.669386414027461463e-01 0.000000000000000000e+00 2.154607535757491477e-01 -1.802039751950091639e-01 -1.223913247107408342e+00 -4.103664457062598109e-02 2.027719355271462298e-13 1.956099051928449593e-13 1.843764941070191732e-13 1.993980008573579578e-13
8.018338373686599851e+00 6.243159389891005162e+00 -1.384497490586319657e+00 3.666351134145332535e-01 3.701801222614810594e-01 1.191173173995472068e+00 1.197013812773362496e+00 9.317082853920093111e-02 -6.511627241315390280e-02 -5.769842426995790419e-01 -2.582339691143998792e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.939390584145533447e+00 1.512066116201447485e+00 1.568529587834328609e+00 7.078463804121505609e-02 0.000000000000000000e+00 5.124843497866018449e-01 0.000000000000000000e+00 -2.449817850115266777e-03 -9.765471076523560279e-02 -1.516533058102912668e-01 2.600458981880266265e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.767155119197958868e+00 9.083766285088218595e+00 -5.857086295731776637e+00 9.000717335982025280e-02 8.535824900630569756e-01 5.803572490795616545e-01 1.827899595476229599e+00 -7.365698945040320689e-02 -5.307354807218667148e-01 6.682171830666305823e-01 7.550127200930140114e-02 4.815727623532634061e-13 5.440572038023505641e-13 4.827768230759171830e-13 5.572051067076477793e-13
5.663479143666243054e+00 4.760451698222209593e+00 2.303636833411299989e-01 2.430512169600702321e-01 2.102636722401103608e-01 9.662073262458564793e-01 8.973092844000443158e-01 4.257945437706041336e-02 -6.409873105977229035e-02 -4.155485234265964278e-01 -9.967037336285350033e-03 5.012231406829881220e-14 6.847061979897706152e-14 8.657815133220059245e-14 6.372409110805277166e-14
7.881378241924767991e+00 3.643089003364675893e+00 6.840906362716960842e-01 1.642770194929229488e-01 8.161739070023918408e-02 7.908687636605929994e-01 5.517257902980045037e-01 2.002884779976402685e-01 -1.352167716729987812e-01 -1.201855061545083148e+00 -5.569269642164078465e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.694754823446287695e+00 4.102716372565468061e-01 2.081355710805254944e-01 3.571443678315438641e-03 0.000000000000000000e+00 1.011858056887302293e-01 0.000000000000000000e+00 1.029886413796224642e-01 -8.205432745130934735e-02 -3.877859481509091655e-01 2.764746434241847559e-02 9.902278107730422274e-13 4.928612605856363266e-02 1.033999979822147752e-12 1.086863374034682654e-12
7.412388191127629256e+00 3.383553814476111921e+00 8.402801442436160784e-01 1.436191028538746361e-01 6.227017306637047667e-02 7.382063273781396262e-01 4.794809701332287122e-01 1.901323956936795956e-01 -1.336492887762808501e-01 -1.152537831149818448e+00 -4.970930083360741020e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.328696690466093955e+00 4.617250823672046423e+00 3.735561166421241808e-01 2.363601712531744337e-01 2.057098478470947289e-01 9.525434583274856593e-01 8.873262668127740449e-01 3.154920975512442299e-02 -6.281279176927026531e-02 -3.939698348830354413e-01 -8.634160085024917761e-03 2.286013988783003326e-13 2.377544775639117702e-13 2.432594327795439826e-13 2.214929628596706834e-13
8.548947693944413118e+00 4.065083430251240082e-01 -1.674858503774967033e+00 2.696623932377554822e-01 1.563019264353072910e-16 1.018773656213076473e+00 1.563057600234557298e-14 2.703104587112423740e-01 -8.130166860502478776e-02 -1.532806924550706773e+00 7.668623977941850522e-02 3.759907437935521109e-13 1.770059986630590498e-01 3.474148061735362084e-13 3.862452166959541922e-13
9.873376414626235942e+00 8.709114403520281655e+00 -5.251444265180310822e+00 1.000000000000000000e+00 7.971356120876216256e-01 1.980099997500124775e+00 1.765761609182614933e+00 5.424714574815685253e-03 -7.161471981054111369e-02 -4.161753247745705875e-01 -2.157074100539002962e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.010497651001954406e-02 0.000000000000000000e+00
7.554053459611136390e+00 2.533535291157885005e+00 9.343684870765045503e-01 1.475830964603777329e-01 1.851062511751843482e-03 7.485921138402265029e-01 6.834167029686902262e-02 2.185714376122915303e-01 -1.708687177488279474e-01 -1.240893843472092417e+00 -4.054639100199729229e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
