# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
2.867168040226701908e+00 4.052917309375247967e+00 0.000000000000000000e+00 8.810449155240434038e-01 1.083370954977179146e+01 1.092838028127629890e+01 1.140010531118953571e-06 3.263745295466106977e-02 1.597092494066601476e-01 3.520423018292283546e-01 7.775174119149712570e-01 -2.097436394546069692e-03 -3.658429142010569362e-04 3.440496440094634872e-02 2.430063716988845046e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.856680858253971778e+00 4.051088094804242701e+00 0.000000000000000000e+00 8.856445890599786708e-01 1.084044225802315786e+01 1.093084692009680303e+01 1.133128185997794505e-06 3.135638800785434110e-02 1.595106973355079893e-01 3.443974537544858272e-01 7.768825431496425571e-01 -1.904327473190753220e-03 -1.412895659256779759e-03 3.650584414130653849e-02 2.445212916220756635e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.847159220888017650e+00 4.044023616507958607e+00 0.000000000000000000e+00 8.882514526126552568e-01 1.084600086404211083e+01 1.093050204118320323e+01 1.126391928246153991e-06 3.036785586304777129e-02 1.584959687361596758e-01 3.382484412908682847e-01 7.744089603872525984e-01 -1.778320728995171638e-03 -2.399403852276214052e-03 3.790790017026653830e-02 2.461760695999727286e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.838267617243041663e+00 4.032026597246577637e+00 0.000000000000000000e+00 8.890659939640830345e-01 1.085081999211083570e+01 1.092731199581733392e+01 1.119634899571706487e-06 2.961571242694159556e-02 1.567097676215801483e-01 3.333231139016911704e-01 7.701792936734337403e-01 -1.719208261136977124e-03 -4.997157198660356729e-04 3.873547294895531706e-02 2.480542567585993993e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.829671575937356298e+00 4.029528018647247301e+00 0.000000000000000000e+00 8.923352842587917166e-01 1.085619927985418620e+01 1.092847128866340078e+01 1.114042703875477213e-06 2.864573749444613432e-02 1.563914558114836428e-01 3.269864953531325114e-01 7.693171952956637805e-01 -1.623852746680820537e-03 8.654937536675505168e-04 4.036873302671586256e-02 2.493546970645008423e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.821552312203952084e+00 4.033855487415585195e+00 0.000000000000000000e+00 8.971901935729089672e-01 1.086137763659363209e+01 1.093300275055218940e+01 1.109493136891111918e-06 2.755572934651851283e-02 1.571276443455973393e-01 3.198087143484739658e-01 7.708899008643721462e-01 -1.498845985541026994e-03 -2.967448947148131760e-03 4.251554179073823575e-02 2.501952199223666032e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.814058082276246875e+00 4.019018242679844199e+00 0.000000000000000000e+00 8.963564749548584842e-01 1.086544885022821028e+01 1.092726409968151025e+01 1.103454424373276149e-06 2.709513143812804573e-02 1.548876312670027233e-01 3.162704145111792098e-01 7.656324191108971888e-01 -1.542783524456087327e-03 5.172689798487149510e-04 4.280730608361522221e-02 2.520984166758143477e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.806344164653966189e+00 4.021604587579087564e+00 0.000000000000000000e+00 9.004595156285599700e-01 1.087001306358316555e+01 1.093090596767395795e+01 1.099046734194520371e-06 2.613004571967618081e-02 1.553511116246539259e-01 3.095699982902910818e-01 7.666007579809607231e-01 -1.459859246559000630e-03 -3.789012029466608565e-05 4.470042719464139419e-02 2.529627561260613597e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.799044868421171284e+00 4.021415136977614324e+00 0.000000000000000000e+00 9.035037442150919418e-01 1.087399999322740207e+01 1.093300749520278536e+01 1.094678322951987536e-06 2.530438548379230698e-02 1.553809994192084931e-01 3.036038642247649855e-01 7.665802313140017699e-01 -1.414954339051952914e-03 -7.964313056070188631e-04 4.625956867520394228e-02 2.539542659506852790e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.791970096725911343e+00 4.017432980449579638e+00 0.000000000000000000e+00 9.053489452918661584e-01 1.087772784157295192e+01 1.093297004901078395e+01 1.090099373854533321e-06 2.462247594422566771e-02 1.548211435576179740e-01 2.984030900617667958e-01 7.652048948499162728e-01 -1.417446495319563951e-03 8.634954514114378914e-04 4.743351513113046314e-02 2.551483277712698200e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.784882864249313528e+00 4.021750457706636084e+00 0.000000000000000000e+00 9.093712397827591332e-01 1.088090377566814482e+01 1.093783870389737700e+01 1.086430925836555721e-06 2.371992239104118300e-02 1.555484578567306875e-01 2.917156781620075523e-01 7.668103469521766469e-01 -1.354107983717581145e-03 -1.391801382938683386e-03 4.934802640108858218e-02 2.558484478679037485e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
