# w_1 w_2 VF 
7.214038206386282681e+00 1.577083517423867320e+00 -1.194979817037801872e+01
9.600344738033536274e+00 9.897496961185383579e-01 -1.788342029321211157e+01
9.606082912715715239e+00 9.049739266915647562e+00 -7.720655299456668175e+00
1.066143748771708477e+00 4.542184757202225143e+00 6.962514504766641465e-01
5.855395644061953675e+00 8.143053191650427847e-01 -1.076061602510526605e+01
4.759032162117195597e+00 7.224705096251212710e-01 -8.727468021626011208e+00
3.933234238643198655e+00 8.779418101020056708e-01 -6.784581397677358794e+00
5.433604907911633308e-01 4.171356146301981482e+00 8.354336792763028541e-02
4.215653005326748803e-01 9.150536613088085858e+00 -2.435808563845968777e+00
3.102322027575831864e+00 5.024624349956642533e+00 7.402425719983494190e-01
9.275232196087429770e+00 5.690310522070204158e+00 -9.228308213340826072e+00
3.840747647621338245e+00 9.077824098167562639e+00 -8.259937956336393938e-02
5.817226102948672484e+00 1.172324680323971968e+00 -9.963200927189975076e+00
4.404032528630208887e+00 9.882947679098926130e+00 -8.472486712089466465e-01
9.105840995284426143e+00 1.006055643949302025e+00 -1.692685924124543817e+01
2.540436475016619067e+00 5.223928132143803582e-01 -5.037282735884220486e+00
2.168377328238295654e+00 9.897237375767813816e+00 -5.887078798659803880e-01
2.714906320784249871e+00 4.064693090846145829e+00 9.412816879657821545e-01
2.642221015504444992e+00 6.610124011094203667e+00 7.883172248593819376e-01
6.636919146099347522e+00 6.352293703377592138e+00 -3.285076498657874211e+00
3.219934679927334287e+00 2.472467667999949992e+00 -2.063973035280470825e+00
3.399648619754656487e+00 3.000548970022532291e+00 -1.220073707783742023e+00
2.507748973325710118e+00 8.303382749453829703e+00 7.683305896443908267e-01
9.062990160128547856e+00 4.537643902103134508e+00 -1.019868370389304069e+01
8.001396573972880955e-01 3.533143696077751805e+00 7.679560808619481094e-01
1.078057902329822682e+00 7.014131185271808455e+00 -2.171641947397819905e-01
5.655435702523550212e+00 3.382447219634030500e+00 -5.221054010616173358e+00
2.836521840345409107e+00 8.898046013602593618e+00 5.333961483192961595e-01
1.652480997050758793e+00 3.678308952345000105e+00 1.190805265320703299e+00
8.444595714825005928e+00 9.079210629363599239e+00 -5.489046909016908060e+00
5.983268285096254857e+00 1.523085096511754832e+00 -9.586898682935499849e+00
7.027146643559708750e+00 8.465274961239384055e+00 -3.161594021843486146e+00
5.336884019453494998e-01 5.327670419537022362e+00 -4.519657158634817762e-01
7.312081413796030216e-02 9.520377242215003477e+00 -3.529834844801372995e+00
9.271222703722131087e+00 4.688427551185457176e+00 -1.043024832428000259e+01
7.179922957641876602e-01 5.831649562610638604e+00 -3.407762064289290294e-01
8.125726689998592489e-01 8.157759084556371221e+00 -1.082853840284771607e+00
3.943642413683876580e+00 5.992317043109620656e+00 2.140533551282697289e-01
9.895032538876730399e+00 1.026520043347205924e+00 -1.831745109178882558e+01
3.774069552705154429e+00 9.838635335739548182e+00 -5.324735573667584987e-01
5.578812576557747427e+00 3.490464384103430184e+00 -4.870923503398445931e+00
8.947886909417199774e+00 1.918359771181777917e+00 -1.474941768061762737e+01
8.079782897353275928e+00 8.990098548943274537e+00 -4.838353831558380946e+00
3.011422646817694115e+00 3.034921982823733266e+00 -5.064876429669329383e-01
7.869255953906430179e+00 9.728071012244084992e-01 -1.447993608639717600e+01
1.395654557996769629e+00 1.812088705500849661e+00 -8.408872288900983705e-01
8.337912647224354767e-01 6.383297694722592119e+00 -3.808289148191779105e-01
6.630940856206124501e-01 9.393843213711173590e+00 -2.201508618809386419e+00
9.662837627910745297e+00 9.514489694912578344e+00 -7.719375063309600549e+00
9.840402367519796911e+00 5.224968208288043314e+00 -1.092676175992528620e+01
4.477211641364864825e+00 3.688138029098820159e+00 -2.219637583049008711e+00
3.052582213833337832e+00 2.633863465074450655e-02 -6.800625664686778649e+00
5.297883251935645355e+00 4.003978746018264978e+00 -3.447521193841568632e+00
3.732969880201826740e+00 9.676685183332745410e+00 -3.791523078880363329e-01
3.142143377849778929e+00 1.146033264200314372e+00 -4.800504656403065340e+00
4.792446331982127106e+00 4.943868384536287408e+00 -1.047492246420917539e+00
3.401958636497172339e+00 9.755368839785791835e+00 -3.202996956706574139e-01
1.711446724395887742e+00 2.375476419577350118e+00 -1.895628877637154375e-01
6.146111500312014364e+00 8.136679205208105614e+00 -1.953906304925114412e+00
1.698040695533318489e+00 9.203985505806514311e+00 -1.276172207781378631e-02
1.929980146700929655e+00 1.315860742832531294e+00 -2.631406800395781787e+00
7.672744872323623566e-01 2.346282599112004430e+00 3.056916195937429137e-01
3.981148974144549602e+00 4.954636982893256270e-01 -7.620097539422205912e+00
7.211778481087219639e+00 4.054035811669085554e+00 -7.145496783997261403e+00
6.538936662395753885e+00 8.514255429456110136e+00 -2.484890083654137882e+00
2.749043453619969934e+00 9.409284115229352707e+00 2.113480083353334038e-01
3.738007278778986975e-01 7.725820513152878988e+00 -1.777537845004191652e+00
7.046642253481504525e+00 3.092046004332639764e-01 -1.412342345274191935e+01
5.341198404357469620e+00 8.541331081264251779e+00 -1.149847225838131592e+00
7.247676335444670492e+00 5.000948199252354343e+00 -5.947133165870583937e+00
2.143120370631607319e+00 4.701785403771837402e+00 9.592165778403778376e-01
5.414807261958055840e+00 5.161034897565084378e+00 -2.088294355900872645e+00
4.676600381841437226e+00 9.147141627411988551e+00 -6.203592673928159940e-01
5.513390602519657513e+00 1.682464010430368972e+00 -8.327987735003263836e+00
5.466072403980466454e+00 4.394525363528005713e+00 -3.199998079006038054e+00
6.188581242854973574e+00 5.163477982050253878e+00 -3.638462766471095122e+00
9.247836839945893672e+00 6.410171329736208179e+00 -8.458408893360685354e+00
5.168122157548991069e+00 3.082959434486765016e+00 -4.842798396973195807e+00
2.937853608598449129e-01 8.598245638633796872e+00 -2.304223967911640969e+00
7.816122299214413038e-01 1.545869293050693871e+00 -7.987816385730202029e-01
5.161006690836092758e+00 1.632124917681210485e+00 -7.724552789095470828e+00
3.411590121902809969e+00 8.756849731076556509e+00 2.643653492323192467e-01
6.765529524699833708e+00 8.962881002516270845e-01 -1.241812341689728960e+01
6.245738376391336111e+00 4.075659353840183630e-01 -1.234371345616182403e+01
9.716261459954791846e+00 8.394061378229913828e+00 -8.150600327435315151e+00
9.231252591037168997e+00 1.438775106689695882e+00 -1.629880962825518509e+01
8.333816015430617341e+00 6.873869200290910086e+00 -6.199597125230868144e+00
5.619501532331812044e+00 5.435302761355083057e+00 -2.176664172165148514e+00
3.022200047352870733e+00 4.223797759608340918e+00 8.348566615004511249e-01
5.094485955134074651e+00 1.049851048893314598e+00 -8.757675379200920318e+00
2.935174614467877863e+00 3.408125593447603130e+00 2.431557446016068269e-01
7.105397650320739444e+00 6.675864460369399289e+00 -3.958313308085964266e+00
4.108832863610031083e+00 7.220357143808094236e+00 4.244994760574449799e-02
7.257493138941306654e+00 9.603404354044876357e+00 -3.608967303824103467e+00
6.159154817857129594e+00 3.481265980478191580e+00 -5.988428883616508713e+00
9.878962627483446113e+00 8.378224634824528394e+00 -8.479503145695163724e+00
3.927938339334006157e-01 1.647120396334492476e+00 -8.401038541414909133e-01
4.518482086227717076e+00 4.799512614666220145e+00 -7.153665535652198315e-01
6.651936364952812042e+00 5.355941239253914077e+00 -4.351910655030225783e+00
3.657483335009374059e+00 8.913481371672448361e+00 7.114036928214595434e-02
5.385446303047801919e+00 8.869163230466382331e+00 -1.237707995960592555e+00
8.318013804517416787e+00 3.678235840779387367e+00 -9.981176710743058678e+00
8.610829235703631568e+00 9.298521342702100512e+00 -5.785532690839319869e+00
4.368176090821199509e+00 5.985751439279162867e+00 -8.053136990747766788e-02
2.834900235896216980e+00 8.784251568984426939e+00 5.785079962306536316e-01
9.322429695836818020e-01 1.855817183052295372e+00 -2.985700480530812939e-01
2.390386592362714335e+00 3.758767157334134357e+00 9.448671323088984053e-01
8.724668451227585164e-01 7.307593218307149030e+00 -6.683220177174025167e-01
7.535662064593661391e+00 2.516062105864318887e+00 -1.070611352690866802e+01
3.685057989747757556e+00 7.723230394562222934e+00 2.316198813923602273e-01
7.657955084836030046e+00 8.296433417630441620e-02 -1.575828844968418885e+01
1.374235439459498220e+00 2.659442496652191235e+00 7.321966651516031988e-01
3.944443498936378023e-01 1.422034914192691568e+00 -1.172072126201785025e+00
9.732593958330189921e+00 3.109391721810582432e+00 -1.396213263763911705e+01
9.188815609472957391e+00 5.491672976530494132e+00 -9.267926801321666019e+00
2.242568716603138501e+00 6.399235173505478658e-01 -4.371768010889356404e+00
5.574667272913855776e+00 9.894650962720865195e+00 -1.709178020682886157e+00
