# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.920801946452144193e+00 1.401554111728558816e+00 7.543161942425524735e+00 1.000000000000000000e+00 4.874369175202658555e-01 1.980099997500124775e+00 1.376477675781573984e+00 5.929805104771465607e-02 -1.364278186629011569e-01 -7.570805382550560569e-01 -4.313006947988545087e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.689008141305182509e-03 0.000000000000000000e+00
9.096241645382654450e-01 1.823172487028139166e+00 4.067471243898485689e+00 1.853378931523269324e-01 8.534241157687029178e-01 8.412501541246752979e-01 1.827727910729096017e+00 -1.142093307304581778e-01 -7.591219178933468203e-01 7.144209409862355420e-01 8.069813714323899323e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.277212258642606679e+00 1.566551939328448384e+00 6.457221476228737878e+00 4.427515103650283557e-01 6.689583060854468188e-01 1.310941813131455413e+00 1.615920063827103847e+00 -4.232635236804863782e-02 -9.252473877593694884e-02 1.603877177650148977e-01 2.023373556092670361e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.536580870685138156e-01 6.952282061846923877e-01 1.134575031295693215e+01 2.163513092555772663e-02 9.681811543583232482e-02 2.748568338670755451e-01 6.026344128332808969e-01 -3.678698774863147641e-02 -6.942983471468156843e-03 1.735471326949911963e-01 4.064998762718371322e-02 3.593373970774138559e-13 3.649067810071460194e-13 3.300356407436033646e-13 3.350361437934323838e-13
1.151113153857698634e+00 5.707358892982372645e-01 1.118865137940932541e+01 1.435184632384652048e-01 2.414213110946646437e-02 7.379405595495750481e-01 2.913986611908659374e-01 1.232917013088792313e-01 -1.253718142546213499e-01 -8.519555300718559820e-01 -2.055162039335073701e-02 5.453354510586566617e-13 5.187373967874275849e-13 5.054424489624870231e-13 5.120794196664113507e-13
8.967256065373786500e-01 3.500807413939975299e-01 1.126049576912730998e+01 1.548951115941438750e-01 0.000000000000000000e+00 7.673893454132376668e-01 0.000000000000000000e+00 8.725667769955261499e-02 -1.488911006396766434e-01 -6.583670610512053489e-01 -9.692794524522683336e-03 7.666827242513996055e-14 8.851007508972651497e-14 9.712749268059317487e-14 9.106725400496009162e-14
7.034637072995381102e-01 1.231434581355647317e+00 8.808183113405419817e+00 8.871613900045451084e-02 4.152985423720859104e-01 5.760407661299277171e-01 1.269028979152445835e+00 -5.623801196629662352e-02 -3.364339559030305460e-01 3.769386097740322628e-01 4.275358904992312969e-02 8.451678349145549940e-13 8.551114460617070812e-13 7.384064198848530602e-13 7.343519238880991118e-13
9.541080171833001833e-01 8.728290670557899977e-01 1.062040173573958590e+01 2.622272634919018963e-01 1.828468401846317370e-01 1.004357873976205795e+00 8.354465333252323322e-01 5.253875928917582476e-03 -6.708165446888494921e-02 -3.213441197193546706e-01 -3.071180707970264621e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.064582443808776535e-01 4.067889583997177927e-01 1.142140137538321909e+01 1.455050403842058915e-01 2.388576247533979728e-16 7.431655368184509891e-01 2.388725928776993369e-14 6.032176119334679842e-02 -1.278766127713791834e-01 -5.525880999992544007e-01 9.672614401640135598e-03 5.281168297815996837e-13 5.124109720788892069e-13 5.008332073716537103e-13 5.108246275994476719e-13
1.316842090140358579e+00 1.554128808329091838e+00 6.562124559436403715e+00 5.199108106923453487e-01 6.579885740144840733e-01 1.422235515834674668e+00 1.602453735256381240e+00 -4.334860972446640676e-02 -4.867353176373053619e-02 9.117807973489358564e-02 1.572271640272093762e-02 4.997574348710592806e-13 5.262669640349049160e-13 4.380180300498498491e-13 4.482115633502870011e-13
4.165466564600033283e-01 1.340011131637332875e+00 7.941728661176022719e+00 1.790052833584944436e-02 5.336059990720276591e-01 2.483322777520168834e-01 1.441104438941326782e+00 -1.044381101672831325e-01 -6.535029698834873280e-01 7.953514245339963207e-01 7.085314142623821976e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.172867885218424944e-01 1.037081451513067520e+00 9.742191702635603079e+00 9.331737834168029471e-16 2.942057070634093163e-01 9.331813070686735515e-14 1.064999977156840139e+00 -8.516297856306598302e-02 -3.870848040541282065e-01 6.723300110906770266e-01 6.976857830553083450e-02 2.244272082723199662e-13 2.430010402967863747e-13 2.072720644112300509e-13 1.890237098789437908e-13
4.475426032732847670e-01 1.105377112164847020e+00 9.490265371182491805e+00 5.264433617108356389e-02 3.195590029605577809e-01 4.393227103233578457e-01 1.110768698108458796e+00 -8.679794641327981397e-02 -3.974404414292340704e-01 5.242090591921493292e-01 5.787511346353929609e-02 7.736312946596962670e-13 8.508641924712123661e-13 7.127636425952738053e-13 6.407563282045947162e-13
1.163366095863599403e+00 1.350320650510601572e+00 8.093037375755107732e+00 3.417983611133751931e-01 4.925405105964396069e-01 1.149441512837839463e+00 1.383767709740828966e+00 -2.338009806128784132e-02 -2.090480843136595292e-03 3.685141779759966082e-03 1.290184272063888554e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.475919333696331437e+00 4.507809254563738821e-01 1.091878592786651403e+01 1.547177152097397590e-01 0.000000000000000000e+00 7.669386414027461463e-01 0.000000000000000000e+00 2.154607535757491477e-01 -1.802039751950091639e-01 -1.223913247107408342e+00 -4.103664457062598109e-02 2.027719355271462298e-13 1.956099051928449593e-13 1.843764941070191732e-13 1.993980008573579578e-13
1.603667674737319748e+00 1.248631877978200855e+00 8.615502509413682120e+00 3.666351134145332535e-01 3.701801222614810594e-01 1.191173173995472068e+00 1.197013812773362496e+00 9.317082853920093111e-02 -6.511627241315390280e-02 -5.769842426995790419e-01 -2.582339691143998792e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
