# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
7.881378241924767991e+00 3.643089003364675893e+00 -9.149187488987612582e+00 1.440445390276424986e-01 1.002490623154021210e-01 7.393280111270861266e-01 6.135584233133752896e-01 -8.767597714681827359e-01 -5.433973294112555419e-02 -1.039251984562736375e+00 1.477808243161155347e-02 4.078317544786713711e-13 3.175493044514296481e-13 8.700870533687961039e-01 3.316011473655094965e-13
2.694754823446287695e+00 4.102716372565468061e-01 -5.488256740828430402e+00 5.005666926840064701e-02 6.855985948316621614e-02 4.279146242236404052e-01 5.040605468885903662e-01 1.576410972872176360e-03 4.941030329038602620e-01 -2.014482049718376022e-01 5.576219920374300143e-01 3.759665105282361530e-13 5.376038386637024269e-01 3.084151857513095507e-13 3.168151911604397131e-13
7.412388191127629256e+00 3.383553814476111921e+00 -8.724936648645682524e+00 1.314040533559934498e-01 9.071680732142330117e-02 7.052702678392971380e-01 5.827165789630552872e-01 -7.911464545463340325e-01 -2.495783116083148678e-02 -9.777769451649249710e-01 4.533148139710777014e-02 2.915525893626425002e-13 3.037327582011905419e-02 7.882140875641950872e-01 2.186475013630367892e-13
5.328696690466093955e+00 4.617250823672046423e+00 -2.611402345244773215e+00 2.925169178826503846e-01 2.085815372459567663e-01 1.061882043769659889e+00 8.936335895689249131e-01 -2.367072015897509207e-01 -5.322127077298330344e-02 -3.640114408287875580e-01 8.958431963080264182e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.058008139873130360e-01 0.000000000000000000e+00
8.548947693944413118e+00 4.065083430251240082e-01 -1.695214651621518342e+01 1.314996893129772304e-01 9.083861875020321497e-02 7.055341529343802653e-01 5.831207852159436822e-01 -1.018495204502998019e+00 5.704278030742558903e-01 -1.204670606018857004e+00 6.406894114691941144e-01 6.178619898697390589e-13 6.257766663547595920e-01 1.015532649195000747e+00 5.703151709571252503e-13
9.873376414626235942e+00 8.709114403520281655e+00 -8.342622840939606377e+00 7.985119658601603776e-01 8.113069516297134465e-01 1.767302266789182452e+00 1.781562661018689431e+00 -2.372509412712453525e-01 -3.168942778704780111e-02 -4.059203250670361807e-01 -4.303567135458023600e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.341119973419764355e-01 0.000000000000000000e+00
7.554053459611136390e+00 2.533535291157885005e+00 -1.070830426563559179e+01 1.314642746491736791e-01 9.088147223237011407e-02 7.054363563458416753e-01 5.832630872223741880e-01 -8.194931082306782244e-01 1.450007995706738551e-01 -1.006929970289931919e+00 2.152402227715764782e-01 1.799231228415132389e-12 2.003485100170409594e-01 8.165462909002384473e-01 1.415571219270939096e-12
1.877214768937600642e+00 9.779364100960821204e+00 -6.288348920426578559e-01 9.156807175271985339e-16 9.999999999999907851e-01 9.156784806159828966e-14 1.980099997500115672e+00 -1.563899241115874750e-01 -1.297201636258519919e+00 1.271394794217506341e+00 2.422717730796075664e-02 6.148885170685584764e-13 6.268896999031627130e-13 6.054797391595121317e-13 9.463630741208704789e-02
7.718448371155090193e+00 3.582786465634047346e+00 -8.939610158764880410e+00 1.367635297265604732e-01 9.501343206546483677e-02 7.199020439270001903e-01 5.968095063523901622e-01 -8.489004736726281086e-01 -5.485056255554237453e-02 -1.023408460913489693e+00 1.483362775507834214e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.443259598822209222e-01 0.000000000000000000e+00
5.602137124908780130e+00 7.338247531426941528e+00 -1.251499966169257405e+00 3.191938182929230927e-01 5.920850696591503093e-01 1.110122639438343661e+00 1.519071350801073139e+00 -4.515130133570647436e-02 -1.135203490551330019e-01 1.963831152878467712e-01 2.515064672529656459e-02 7.452399157850675415e-13 6.466914677372148645e-13 7.777655472787636803e-13 6.077724044525889546e-13
