# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.920801946452144193e+00 1.401554111728558816e+00 1.304193480194102861e+00 5.052712199564474149e-01 5.282965048713839096e-01 1.401789618094840151e+00 1.433817949665140645e+00 -6.078397851734733681e-01 -2.886142184701098387e-02 -7.165079071573799974e-01 2.741256480723823236e-03 2.119453592665243580e-12 1.365561201442655470e-12 5.904167675545177740e-01 1.361081820167031609e-12
9.096241645382654450e-01 1.823172487028139166e+00 9.499796113384048724e+00 1.850839404710565295e-01 8.544262514527942720e-01 8.406608771625310172e-01 1.828811809584520720e+00 -1.141438555124580645e-01 -7.590028057713176235e-01 7.146457051572515651e-01 8.057770393728111435e-02 5.055862412756129132e-14 5.386907283091990628e-14 5.112728816702993839e-14 5.281327675535352206e-14
1.277212258642606679e+00 1.566551939328448384e+00 7.784511182612946278e+00 4.433848853227952413e-01 6.688888930694069090e-01 1.311893897464012415e+00 1.615834881176192894e+00 -4.243213951616801871e-02 -9.254587229806135462e-02 1.597682590269829672e-01 2.024320030009778282e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.536580870685138156e-01 6.952282061846923877e-01 1.117806625602122139e+01 2.161473921924670152e-02 9.694598815259179714e-02 2.747192761507176173e-01 6.030441022187631450e-01 -3.677170355799118384e-02 -7.001356744858805090e-03 1.735323919740719700e-01 4.060446658431529632e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.151113153857698634e+00 5.707358892982372645e-01 3.528959456942064143e+00 1.313789216486377920e-01 9.079157840884631570e-02 7.052010053530805012e-01 5.829646074451112492e-01 -4.597450662137939070e-01 8.099640701799014353e-02 -6.466362338173559099e-01 1.512536408049566239e-01 2.390030763115698339e-13 1.363287713109798960e-01 4.568282086006443254e-01 1.771511064983234315e-13
8.967256065373786500e-01 3.500807413939975299e-01 3.866283432952044130e+00 1.313803543154094533e-01 9.070365707621982909e-02 7.052049056160505369e-01 5.826730207548508345e-01 -2.053794243965218480e-01 3.016833691608589163e-01 -3.914702575139611396e-01 3.719732580664870669e-01 0.000000000000000000e+00 3.570095703885020622e-01 2.024551673381068118e-01 0.000000000000000000e+00
7.034637072995381102e-01 1.231434581355647317e+00 1.046732154386008418e+01 8.896741615852676865e-02 4.158210744932149816e-01 5.768842315057877146e-01 1.269838909045448938e+00 -5.633173034151295333e-02 -3.365538785377683584e-01 3.771303871531426766e-01 4.266359683951800180e-02 1.012557333986141561e-12 1.039269608956241986e-12 1.010018674599266753e-12 9.857149818603971880e-13
9.541080171833001833e-01 8.728290670557899977e-01 8.195325262973561564e+00 2.739327894344212311e-01 1.897069853398729022e-01 1.026963642388389886e+00 8.513368704087561634e-01 -1.746085736886844320e-01 -5.622060238666939935e-02 -3.142155279667920298e-01 7.831133252184978299e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.425139534056254487e-01 0.000000000000000000e+00
8.064582443808776535e-01 4.067889583997177927e-01 5.336039277963600114e+00 1.314082334663551066e-01 9.077265495458609890e-02 7.052818300749917890e-01 5.829022455272365733e-01 -1.151349094726308586e-01 2.449585892369727236e-01 -3.016091978842646015e-01 3.152280249278526791e-01 0.000000000000000000e+00 3.002907961394465364e-01 1.122004274434059146e-01 0.000000000000000000e+00
1.316842090140358579e+00 1.554128808329091838e+00 7.510805255203649722e+00 5.187317315052913935e-01 6.585241884679660096e-01 1.420600224230355701e+00 1.603113327669997146e+00 -4.316691065744059086e-02 -4.849356544313501022e-02 9.066459959328873608e-02 1.564942835666964516e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
