#T1 T2 L2 LInf 
8.400000000000000000e+01 8.500000000000000000e+01 6.536442915996093592e-04 4.464250226036626384e-03
8.500000000000000000e+01 8.600000000000000000e+01 2.820676865328037349e-03 1.603210955653008862e-02
8.600000000000000000e+01 8.700000000000000000e+01 3.217071189816553701e-03 1.851719348699425519e-02
8.700000000000000000e+01 8.800000000000000000e+01 3.327679611697845641e-03 2.001388051618571348e-02
8.800000000000000000e+01 8.900000000000000000e+01 3.386695132808909166e-03 1.885118361700040962e-02
8.900000000000000000e+01 9.000000000000000000e+01 3.688042716408551289e-03 1.877657013744821538e-02
9.000000000000000000e+01 9.100000000000000000e+01 3.217223383426948569e-03 1.887723962993416438e-02
9.100000000000000000e+01 9.200000000000000000e+01 3.582532341710692979e-03 1.764338121795529929e-02
9.200000000000000000e+01 9.300000000000000000e+01 2.917621365743383946e-03 1.444652994558271418e-02
9.300000000000000000e+01 9.400000000000000000e+01 1.724326499287296604e-03 8.795461332046830213e-03
9.400000000000000000e+01 9.500000000000000000e+01 1.113854983134070090e-03 5.561551702235863724e-03
9.500000000000000000e+01 9.600000000000000000e+01 9.341474513155144464e-04 5.069762214182919023e-03
9.600000000000000000e+01 9.700000000000000000e+01 6.167411920312679176e-04 3.221657000943832852e-03
9.700000000000000000e+01 9.800000000000000000e+01 4.781122168654239942e-04 1.763975196068237909e-03
9.800000000000000000e+01 9.900000000000000000e+01 4.465810511443730102e-04 1.709078634426799449e-03
9.900000000000000000e+01 1.000000000000000000e+02 6.032261790352455924e-03 4.752984117877232656e-02
1.000000000000000000e+02 1.010000000000000000e+02 1.715344306283397239e-03 8.766832121683556037e-03
1.010000000000000000e+02 1.020000000000000000e+02 1.422847634938620431e-03 7.281373148226033716e-03
1.020000000000000000e+02 1.030000000000000000e+02 1.150351352867228687e-03 5.626660916264807424e-03
1.030000000000000000e+02 1.040000000000000000e+02 1.035689380522387265e-03 5.267093443343273153e-03
1.040000000000000000e+02 1.050000000000000000e+02 9.646172105008669244e-04 6.047996591439893516e-03
1.050000000000000000e+02 1.060000000000000000e+02 1.414527713145649797e-03 7.361564323057749951e-03
1.060000000000000000e+02 1.070000000000000000e+02 8.019958146618134942e-04 3.980342475827788190e-03
1.070000000000000000e+02 1.080000000000000000e+02 7.086826737684918205e-04 3.398195954620858179e-03
1.080000000000000000e+02 1.090000000000000000e+02 6.407381127735991243e-04 3.018526529061525601e-03
1.090000000000000000e+02 1.100000000000000000e+02 5.823039916233815503e-04 3.294737049616586720e-03
1.100000000000000000e+02 1.110000000000000000e+02 6.052714708269019877e-04 3.585999908559035602e-03
1.110000000000000000e+02 1.120000000000000000e+02 5.384396746506325999e-04 2.690383654215417700e-03
1.120000000000000000e+02 1.130000000000000000e+02 5.183553509149864879e-04 2.835216616875958079e-03
1.130000000000000000e+02 1.140000000000000000e+02 4.859485005753896684e-04 3.070351429307353365e-03
1.140000000000000000e+02 1.150000000000000000e+02 5.138978250089591823e-04 2.939841229028348699e-03
1.150000000000000000e+02 1.160000000000000000e+02 8.557865789259868836e-04 1.002205452467950370e-02
1.160000000000000000e+02 1.170000000000000000e+02 8.299533928871937263e-04 7.381297302925054170e-03
1.170000000000000000e+02 1.180000000000000000e+02 6.282468262313775339e-04 5.439460305994837236e-03
1.180000000000000000e+02 1.190000000000000000e+02 4.587526053507525316e-04 3.837508364710452268e-03
1.190000000000000000e+02 1.200000000000000000e+02 4.486588304544456072e-04 3.147080519253898576e-03
1.200000000000000000e+02 1.210000000000000000e+02 3.774418046042172983e-04 2.180136318887934341e-03
1.210000000000000000e+02 1.220000000000000000e+02 2.356090849008022768e-04 1.457189949698476771e-03
1.220000000000000000e+02 1.230000000000000000e+02 2.295762405789521308e-04 1.164290935992508876e-03
1.230000000000000000e+02 1.240000000000000000e+02 2.727021954792082249e-04 2.130648597944178723e-03
1.240000000000000000e+02 1.250000000000000000e+02 2.940448974823385879e-04 2.477328727362189571e-03
1.250000000000000000e+02 1.260000000000000000e+02 2.314319613774071401e-04 1.708529005168239832e-03
1.260000000000000000e+02 1.270000000000000000e+02 2.025334657397045274e-04 1.302446878119590135e-03
1.270000000000000000e+02 1.280000000000000000e+02 1.552936316017849842e-04 9.967722928721051926e-04
1.280000000000000000e+02 1.290000000000000000e+02 1.349616491016654679e-04 6.537711115839276842e-04
1.290000000000000000e+02 1.300000000000000000e+02 1.386321350249375439e-04 8.449859489925578507e-04
1.300000000000000000e+02 1.310000000000000000e+02 1.945754954732005265e-04 9.665760727179647030e-04
1.310000000000000000e+02 1.320000000000000000e+02 2.124613708371688044e-04 9.811143390579186215e-04
1.320000000000000000e+02 1.330000000000000000e+02 1.517912264425278933e-04 6.916638880866769193e-04
1.330000000000000000e+02 1.340000000000000000e+02 8.467073762548292504e-05 3.975164429689897702e-04
1.340000000000000000e+02 1.350000000000000000e+02 6.551080690301341511e-05 3.983200107090750872e-04
1.350000000000000000e+02 1.360000000000000000e+02 6.957408382570480878e-05 3.418167508404205946e-04
1.360000000000000000e+02 1.370000000000000000e+02 8.039621374150016033e-05 4.937726980347329495e-04
1.370000000000000000e+02 1.380000000000000000e+02 6.649330747961765611e-05 4.531841025383642231e-04
1.380000000000000000e+02 1.390000000000000000e+02 4.860559151561681527e-05 2.725075926866810496e-04
1.390000000000000000e+02 1.400000000000000000e+02 8.816249107688645830e-05 6.193426233033656747e-04
1.400000000000000000e+02 1.410000000000000000e+02 8.473991796976919843e-05 4.473003593152941829e-04
1.410000000000000000e+02 1.420000000000000000e+02 8.259929448788039719e-05 4.288280872913438797e-04
1.420000000000000000e+02 1.430000000000000000e+02 8.397899036080695462e-05 4.103333327203133535e-04
1.430000000000000000e+02 1.440000000000000000e+02 8.078432638561371722e-05 4.521806687505729823e-04
1.440000000000000000e+02 1.450000000000000000e+02 7.777886023279805298e-05 4.260584293144235217e-04
1.450000000000000000e+02 1.460000000000000000e+02 7.739278828852760015e-05 4.328348713321683063e-04
1.460000000000000000e+02 1.470000000000000000e+02 8.175486359667808649e-05 4.385155583056860778e-04
1.470000000000000000e+02 1.480000000000000000e+02 8.732168845650518311e-05 5.421755777959737102e-04
1.480000000000000000e+02 1.490000000000000000e+02 1.010825734611057287e-04 6.443140695225166477e-04
1.490000000000000000e+02 1.500000000000000000e+02 1.033678715299656833e-04 6.390938411327156451e-04
1.500000000000000000e+02 1.510000000000000000e+02 1.090119556281773970e-04 6.774544154746680929e-04
1.510000000000000000e+02 1.520000000000000000e+02 1.065230672744725695e-04 6.732895885300871699e-04
1.520000000000000000e+02 1.530000000000000000e+02 9.914594696559700208e-05 7.086691816741372014e-04
1.530000000000000000e+02 1.540000000000000000e+02 9.023738536658209360e-05 5.362032022789942976e-04
1.540000000000000000e+02 1.550000000000000000e+02 8.476888300474060044e-05 4.722670758459763737e-04
1.550000000000000000e+02 1.560000000000000000e+02 7.841279359435430140e-05 4.005652218069517367e-04
1.560000000000000000e+02 1.570000000000000000e+02 7.336831798177085770e-05 3.629813081980506981e-04
