# w_1 w_2 VF 
6.245738376391336111e+00 4.075659353840183630e-01 -8.495969490322767825e-01
9.716261459954791846e+00 8.394061378229913828e+00 -4.669610449986068446e+00
9.231252591037168997e+00 1.438775106689695882e+00 -6.220979692298005403e-01
8.333816015430617341e+00 6.873869200290910086e+00 -2.158057250315325248e+00
5.619501532331812044e+00 5.435302761355083057e+00 -3.598083789402171107e-01
3.022200047352870733e+00 4.223797759608340918e+00 8.390787751995940624e-01
5.094485955134074651e+00 1.049851048893314598e+00 5.367866877350007115e-01
2.935174614467877863e+00 3.408125593447603130e+00 1.369830119510877964e+00
7.105397650320739444e+00 6.675864460369399289e+00 -1.861055951070740733e+00
4.108832863610031083e+00 7.220357143808094236e+00 -2.670346578845057550e+00
7.257493138941306654e+00 9.603404354044876357e+00 -6.690699317143300462e+00
6.159154817857129594e+00 3.481265980478191580e+00 9.649653859669324873e-01
9.878962627483446113e+00 8.378224634824528394e+00 -4.681196028483102012e+00
3.927938339334006157e-01 1.647120396334492476e+00 1.549883718194903892e+00
4.518482086227717076e+00 4.799512614666220145e+00 2.982840605836809544e-01
6.651936364952812042e+00 5.355941239253914077e+00 -3.742168619064631940e-01
3.657483335009374059e+00 8.913481371672448361e+00 -5.637503308476881969e+00
5.385446303047801919e+00 8.869163230466382331e+00 -5.417316775012297470e+00
8.318013804517416787e+00 3.678235840779387367e+00 6.202105306438152610e-01
8.610829235703631568e+00 9.298521342702100512e+00 -6.122948065662059847e+00
4.368176090821199509e+00 5.985751439279162867e+00 -9.370711276133096845e-01
2.834900235896216980e+00 8.784251568984426939e+00 -5.435072469641456294e+00
9.322429695836818020e-01 1.855817183052295372e+00 1.737756286049259913e+00
2.390386592362714335e+00 3.758767157334134357e+00 1.173946806549791333e+00
8.724668451227585164e-01 7.307593218307149030e+00 -3.503559637872969645e+00
7.535662064593661391e+00 2.516062105864318887e+00 9.351344508177117376e-01
3.685057989747757556e+00 7.723230394562222934e+00 -3.510782920144267294e+00
7.657955084836030046e+00 8.296433417630441620e-02 -1.812622636673042464e+00
1.374235439459498220e+00 2.659442496652191235e+00 1.719965650292577308e+00
3.944443498936378023e-01 1.422034914192691568e+00 1.484602272772461262e+00
9.732593958330189921e+00 3.109391721810582432e+00 4.122625626041376279e-02
