# w_1 w_2 VF 
7.209144767200656112e+00 3.262713352916725373e+00 -8.638845024187505217e+00
2.192977503637056014e+00 6.861255494654136200e+00 7.654158057284785599e-01
1.039657129737143887e-01 7.635984414051759650e+00 -2.457585993557588111e+00
7.864793207763624672e+00 3.840798430932567342e+00 -8.874947823584991013e+00
2.003054200402568430e+00 2.758029003026530646e+00 5.480552341014099937e-01
5.387267697302058345e+00 3.888799834324435878e+00 -3.915031098229521334e+00
9.688769760852965263e+00 7.842461618066251638e+00 -8.422955027070203826e+00
9.583643150752301665e+00 8.397560228412388028e+00 -7.974539367020044622e+00
9.611659697065752184e+00 7.002839715372886964e+00 -8.790123930231859006e+00
5.424486466938286178e+00 8.462453058304607367e+00 -1.365357758093525220e+00
5.569357750904151416e+00 5.624397512330664206e+00 -2.042348811282865384e+00
4.438131471334054723e+00 2.892756566442596711e+00 -3.778181800067615725e+00
6.007413470700201374e-01 9.191734861594309081e+00 -2.679478342672156899e+00
9.349960010179362513e+00 9.885896344061547936e+00 -7.245771719181904658e+00
6.513665573790623498e+00 7.386023282505864707e+00 -2.571130869549962839e+00
8.637888887799949345e+00 7.164756450353166883e+00 -6.683094333842747758e+00
2.049989718197801292e+00 9.172817936951995321e+00 -3.415764547771704684e-01
5.376699784599414222e+00 7.393683035551937621e+00 -1.273975692727619347e+00
9.389548050132289214e-01 4.989737589413222096e+00 2.693114007888475214e-02
7.409615135028837507e+00 3.427999359179609851e+00 -8.718601972536818678e+00
2.117679166420054937e+00 6.190681765578387008e+00 8.799027691948122509e-01
1.101285213142825681e+00 7.233006810105941931e+00 -4.808837788186810513e-01
3.530062207504342631e+00 1.997482538220902271e+00 -3.820172205254495523e+00
4.714342160246761004e+00 6.252552418821764491e+00 -5.700918932689109653e-01
2.846234354229109975e+00 9.249763873175643525e+00 -1.140471173312125330e-01
6.306403640576082381e+00 3.519489813934728595e+00 -6.322756468014633313e+00
1.121838368689187071e+00 3.343690868474535893e+00 8.096075233988795361e-01
2.787505690189218122e+00 9.579916361284826820e+00 -5.126452841814188588e-01
5.457836404331191993e+00 2.515509563192039888e+00 -6.641597952766462143e+00
2.381648645291503996e+00 9.889652770382300062e+00 -1.138332053275009415e+00
3.082881759145555955e-01 5.256883100182303536e+00 -1.277463868786073320e+00
7.968510169005215138e-01 8.393443080212465546e+00 -1.519429750855126215e+00
1.123675931108831128e+00 2.817594234395029318e+00 9.874583628807140911e-01
3.495084768164705924e+00 4.621330030834067237e+00 4.161125705595605240e-01
9.534601623046974339e+00 8.299612328774795600e+00 -7.912536594704763004e+00
6.478483227303386549e+00 4.684208467286248734e+00 -4.979995646008321231e+00
7.880643494264768734e+00 8.680489843046467868e+00 -4.560052389725571587e+00
9.609915074819336267e-01 7.578266835574716254e+00 -8.631516322366241667e-01
6.286420211659105028e+00 3.235609278539910427e+00 -6.825907095239928779e+00
2.677910827965524376e+00 3.065584457132127127e+00 7.006639168139194851e-02
9.894817174436205676e+00 7.659504172317139314e+00 -8.928256941511792277e+00
6.677377346977207695e-02 2.984918715942704637e+00 -1.149120321550073598e+00
5.166210796645297698e+00 4.475306670358734529e+00 -2.626598704828213116e+00
2.090268635880899062e+00 2.030128347660896893e+00 -1.044377432577677567e+00
2.011098501924126758e+00 2.351938030365551491e+00 -2.427197208890010671e-01
2.419549781163898849e+00 1.497389841753806516e+00 -2.733461883481142607e+00
3.086979837743823563e+00 7.231048516749970512e-01 -5.516723578753955692e+00
1.161048450246773500e+00 8.685651561294203127e-01 -2.013293106861057780e+00
2.826074524624770934e+00 6.808318209162527168e+00 7.179725102996581398e-01
2.267926254118373564e+00 6.002957311231035042e+00 9.168486959333659314e-01
1.862155157829829655e+00 6.658515734062699032e+00 6.642543729813024100e-01
3.053759956707649881e+00 1.646584405121874983e+00 -3.645401797457454407e+00
1.886981260732929488e+00 1.632525741420641774e+00 -1.432641887427964278e+00
6.627531422006844863e-01 3.886034883028085751e+00 -1.750987718787673231e-01
3.950538322580783301e+00 9.183062340358672415e+00 -4.315622547819675248e-01
5.447444972678042951e+00 6.921816703721400899e+00 -1.265065818610311865e+00
3.217045990002665334e+00 3.663101054836645498e-02 -7.107442996704778082e+00
2.756876156485470464e+00 8.054831715979480222e+00 4.921288226869346971e-01
1.609055804937478795e+00 4.245265671408767205e-01 -3.514360319566550928e+00
3.188509138966731271e+00 6.499759976486854995e+00 5.736624490054946790e-01
3.504794175993244387e+00 9.778516024119277006e+00 -9.860904464003414915e-01
9.494120798560006236e+00 8.946676985097624879e+00 -7.627431879331199482e+00
7.396935530028986072e+00 7.475545686887302921e+00 -3.943894178644770321e+00
2.284484512266818701e+00 1.494524299500246567e+00 -2.475226408691016289e+00
7.741819183452466335e-01 7.832684441502792083e+00 -1.283406554804971123e+00
2.539925979428073743e-01 5.872032437179292685e+00 -1.627519549829232304e+00
6.034615795456721443e+00 7.552444366415893562e+00 -1.927437536427534681e+00
5.642561013417023652e+00 1.904118915750343533e+00 -8.227582624560456637e+00
2.479730560467830802e+00 3.069508944902655134e+00 3.798102570417523083e-01
4.194229443356789488e+00 4.848136290045427899e+00 -3.173679903029569260e-01
7.476668978216011174e-01 2.374390024365025553e+00 4.477005965709377477e-01
6.121194777176485857e+00 2.142152310876572763e+00 -8.704776192624196440e+00
2.571449298186247456e-01 9.600051667950753043e+00 -4.146184276702117089e+00
2.261107742443267732e+00 2.162637789705887936e+00 -1.129694340641437478e+00
7.773829793893660245e+00 5.989003308782106849e+00 -6.084620115182589828e+00
6.648415107961621606e-01 7.920987885638790083e+00 -1.506457766716268409e+00
4.244649313365115972e+00 3.705796203691629653e+00 -1.825055185780003697e+00
9.573075356258665914e-04 4.530830385095230284e+00 -1.704501054551657901e+00
6.405373374231952965e+00 9.780934132063112685e+00 -3.031682081269538642e+00
5.202792976052120544e+00 6.223285633793728344e+00 -1.081741019899711276e+00
3.116014675584825699e+00 8.571407025757125098e+00 2.724471945148234653e-01
5.096704918338978985e+00 9.215216577073494619e+00 -1.286151378153592262e+00
5.946098106668689098e+00 1.981266779103572073e+00 -8.678683580906183082e+00
6.392768495131112338e+00 7.690175783961056943e+00 -2.391074668505099865e+00
8.885942398318244173e+00 5.765314226136852405e+00 -8.509327984555968172e+00
8.451537486344891548e+00 9.684806681452414523e+00 -5.632805722024388118e+00
4.616579998109321181e+00 9.741296122819917969e+00 -1.539480291135989276e+00
