# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
4.165466564600033283e-01 1.340011131637332875e+00 1.077472884509347217e+01 1.257983138934180628e-03 5.466403268020733064e-01 5.370184823144895370e-02 1.458845739856653001e+00 -8.794286508256521362e-02 -7.136863697459989719e-01 8.481580076289438885e-01 1.150551095280544223e-01 2.643819814766509846e-13 2.681912851520973362e-13 2.610284628419903830e-13 2.547775358741066754e-13
2.172867885218424944e-01 1.037081451513067520e+00 1.021389448000546807e+01 4.595948736326394963e-15 3.027491822124298571e-01 4.595948736326393985e-13 1.080643538213289068e+00 -8.971739335707999696e-02 -5.729205970779072121e-01 7.162569458213092766e-01 1.090201380044740070e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.475426032732847670e-01 1.105377112164847020e+00 1.094108875050029717e+01 1.143443328038219395e-02 3.322717969545099792e-01 1.948063658676221499e-01 1.133034224942544466e+00 -6.328409985651851921e-02 -4.394688108133784077e-01 5.408703338502153235e-01 8.829289148188737557e-02 5.924544708990620023e-13 5.969851349374444283e-13 5.790420226636783241e-13 5.749571825586219376e-13
1.163366095863599403e+00 1.350320650510601572e+00 8.347778467777564160e+00 2.933893286572903381e-01 4.812930884962456912e-01 1.063501862644842033e+00 1.367650669648683648e+00 -1.486988445445716275e-02 1.439730913844432421e-02 -2.032725821458373529e-03 2.404035268561837899e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.475919333696331437e+00 4.507809254563738821e-01 -1.003308130600194303e+00 1.252082411496072967e-01 1.140893428703511070e-01 6.879806700246496876e-01 6.558443860045628515e-01 -8.663436944840545717e-01 2.021625492624782860e-01 -9.616753983265995398e-01 2.632074646821370711e-01 1.285282508678084468e-13 2.483172795256460286e-01 8.494274066597855555e-01 6.394255784580860080e-14
1.603667674737319748e+00 1.248631877978200855e+00 3.706779434211040503e+00 3.418671678260217228e-01 3.689306411401010455e-01 1.149563791074321051e+00 1.194958882107164388e+00 -4.066990951079390570e-01 -2.305414904248217350e-02 -5.308288608878155568e-01 1.292709549234367407e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.051724876065115888e-01 0.000000000000000000e+00
3.878781168291066117e-01 3.024132232402894638e-01 8.225032284841228503e+00 1.171041429735673600e-01 4.403663441670923467e-02 6.647087704454436308e-01 4.001749788224618909e-01 -4.957711372441487435e-02 1.654870901923008453e-01 -7.666566700467881967e-02 2.534619454929117333e-01 2.665296369025460521e-13 2.209555895117474855e-01 2.701664846699314282e-13 2.456347842141881621e-13
9.534310238395916626e-01 1.816753257017643453e+00 9.151880911684299846e+00 2.010618412193708182e-01 8.774736705114712931e-01 8.770309808694966014e-01 1.853578251664534493e+00 -1.114169720557110221e-01 -7.040522464566624228e-01 6.763843183790685387e-01 1.158141996473563140e-01 4.933890752553682368e-13 4.669392043160636163e-13 3.916573012088808703e-13 4.080369939499228771e-13
1.132695828733248478e+00 9.520903396444417854e-01 6.739970009376826887e+00 2.748737963628168912e-01 2.290793410526049678e-01 1.028764658563743550e+00 9.374538022703423623e-01 -2.744911766520957142e-01 -4.351633880795730686e-02 -4.099359458723789706e-01 1.111142846307642054e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.488985441228183659e-01 0.000000000000000000e+00
1.576275648384953376e+00 7.286178006729350232e-01 7.549214527716134882e-01 1.546340238524817612e-01 1.377759615512375302e-01 7.667307419602783503e-01 7.226348555875266033e-01 -9.457123761690785502e-01 -4.777088986426211020e-02 -1.042419300360555523e+00 1.108918914306150985e-02 3.035807282641966864e-13 1.464425369163135926e-13 9.227136534746581686e-01 2.154177444063654079e-13
5.389509646892574057e-01 8.205432745130934735e-02 4.613171665320926706e+00 7.844653602332080089e-02 9.193007054067248163e-02 5.405284316143785794e-01 5.867316414375164380e-01 -1.776125462261542165e-02 5.499005459144373775e-01 -3.986554686055490682e-02 6.098614978332986825e-01 4.415864375550970777e-13 5.835156969810548766e-01 4.350129197833174644e-13 3.135922511249278344e-13
1.482477638225525585e+00 6.767107628952222509e-01 1.190409042464183997e+00 1.251290658673136769e-01 1.136011747748811307e-01 6.877605843712669698e-01 6.543946889224689922e-01 -8.730907309934827776e-01 -2.392404742266145481e-02 -9.692709106106156547e-01 3.726766270177103019e-02 0.000000000000000000e+00 2.222971133569686536e-02 8.561737855808722042e-01 0.000000000000000000e+00
1.065739338093218525e+00 9.234501647344091069e-01 7.230850597032406846e+00 2.708327653632747745e-01 2.190164378327036365e-01 1.021029551394045276e+00 9.162011469610585879e-01 -2.348512970731233274e-01 -4.648281867845632798e-02 -3.671267546326932307e-01 9.885443046093626146e-03 2.503262354347501883e-13 2.203786198667900820e-13 2.076651490718719184e-01 1.778965429827250588e-13
1.709789538788882401e+00 8.130166860502478776e-02 -7.036802326116871953e+00 1.252449867459013433e-01 1.152264309332097364e-01 6.880866733983100891e-01 6.591949617689495389e-01 -1.100235181632234660e+00 5.715887728151342051e-01 -1.195536739011507477e+00 6.322681141131653026e-01 1.307052204099420911e-13 6.177581608340690922e-01 1.083309478823942351e+00 1.019940384862534784e-13
1.974675282925246966e+00 1.741822880704055887e+00 1.565574802454625214e+00 7.908266268393963072e-01 8.529609627795887716e-01 1.758686670992297252e+00 1.827226475790383109e+00 -2.694461008905583155e-01 -2.710856515163670433e-02 -4.210806507286579681e-01 -5.631516766637735538e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.606283575735601765e-01 0.000000000000000000e+00
1.510810691922227056e+00 5.067070582315769123e-01 -7.929603272458418672e-01 1.250613102228239626e-01 1.134113585855538453e-01 6.875661777551580478e-01 6.538312395100538410e-01 -9.014242247038058986e-01 1.462189445930629494e-01 -9.956666307513687419e-01 2.074609066498976084e-01 2.001559291572863053e-12 1.923342487068959161e-01 8.845132682449099448e-01 1.364028247990978215e-12
3.754429537875200729e-01 1.955872820192164019e+00 8.580042761348051883e+00 0.000000000000000000e+00 9.999999999999839018e-01 0.000000000000000000e+00 1.980099997500108566e+00 -1.563899241115897509e-01 -1.412722207594707013e+00 1.284014665689961587e+00 2.422717730773806324e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.540680497702049678e-01
1.543689674231017772e+00 7.165572931268093804e-01 9.708409084305476000e-01 1.420372502131545533e-01 1.295036736199945693e-01 7.340280729724811826e-01 7.000104844304092522e-01 -9.222770485932851869e-01 -4.696198266025747303e-02 -1.019586546766803048e+00 1.219447538050904070e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.016951568865070321e-01 0.000000000000000000e+00
