# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.885323588842838571e+00 3.179728393264559028e+00 0.000000000000000000e+00 1.195304333066244951e+00 1.117518065138583516e+01 1.121542801474665829e+01 2.069723132976950768e-06 2.289603139254658970e-02 8.548614138987176148e-02 2.754003127889526059e-01 5.576530664288732453e-01 -2.233747691607312902e-02 -1.024550231025855851e-02 1.113234113178123152e-01 4.486929056806872318e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.773636204262472926e+00 3.128500881713266235e+00 0.000000000000000000e+00 1.225500122601031805e+00 1.116521947424128847e+01 1.128578077096077870e+01 2.024042800752308250e-06 2.389111600495752441e-02 8.111542783863612271e-02 2.369518111683055483e-01 5.503253485749262097e-01 -1.875791883362154522e-02 -1.174476641886990080e-02 1.174467191553958401e-01 4.679441306924964766e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.679846610094365200e+00 3.069777049618916731e+00 0.000000000000000000e+00 1.240326794745042704e+00 1.116220598199878644e+01 1.131844760749130252e+01 1.989710671418699867e-06 2.227561767836638840e-02 7.755999186507267495e-02 1.878212639983556365e-01 5.447497308062132504e-01 -1.555991865201633573e-02 -1.217520285659912105e-02 1.137113987638258550e-01 4.766969565119302810e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.602047016834283522e+00 3.008901035335921126e+00 0.000000000000000000e+00 1.244238218251039640e+00 1.116696168163143454e+01 1.132151475487064829e+01 1.972237558194805739e-06 1.724829307656383648e-02 7.500138349391605175e-02 1.322218713136225077e-01 5.397826981089650644e-01 -1.262263268829677543e-02 -1.125212202048420096e-02 1.035774911838984735e-01 4.779115326619566562e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.538933853392799644e+00 2.952640425233499677e+00 0.000000000000000000e+00 1.239817246175617171e+00 1.117573171940916765e+01 1.130390277294207024e+01 1.994338989271933563e-06 1.099607902917359992e-02 7.310728950051625930e-02 7.979615265593631435e-02 5.342659356766432666e-01 -1.019713914042164049e-02 -9.858447026897643184e-03 9.191041016470080649e-02 4.752629777070613293e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.487948157690691442e+00 2.903348190099011461e+00 0.000000000000000000e+00 1.229590528354831847e+00 1.118474455930060785e+01 1.127443649740905940e+01 2.072912402584930013e-06 5.352768691236631238e-03 7.137178410511779703e-02 3.725569016910890152e-02 5.273058554611544935e-01 -8.428673105481010452e-03 -8.812015487689173199e-03 8.151890473556022698e-02 4.710715316753019688e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.445804792163286390e+00 2.859288112660565595e+00 0.000000000000000000e+00 1.215102758212706746e+00 1.119172588899973242e+01 1.123847962742568463e+01 2.215845423271225614e-06 1.052823915932310506e-03 6.942722019081060125e-02 6.366111442716038127e-03 5.183039351063243316e-01 -7.283423581538883695e-03 -8.474524849611420052e-03 7.282418159218195797e-02 4.658305078254338510e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.409387674255591971e+00 2.816915488412508495e+00 0.000000000000000000e+00 1.196420794955768585e+00 1.118919000331055180e+01 1.120365158660098892e+01 2.437364183243778136e-06 0.000000000000000000e+00 6.692526086695238519e-02 0.000000000000000000e+00 5.062676972472850423e-01 -6.674172268761324744e-03 -9.045392261754159335e-03 6.530056191741095972e-02 4.589274014970268212e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.376016812911785347e+00 2.771688527103737698e+00 0.000000000000000000e+00 1.172159179883122349e+00 1.114643101423772542e+01 1.119788734552852283e+01 2.767034841203456897e-06 0.000000000000000000e+00 6.332229783683018809e-02 0.000000000000000000e+00 4.891743473730798542e-01 -6.509675109093393530e-03 -1.076176245771520712e-02 5.839701588956813794e-02 4.491389873036208402e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.343468437366318380e+00 2.717879714815161663e+00 0.000000000000000000e+00 1.139775175030647958e+00 1.109238909064603185e+01 1.118716125941526762e+01 3.243037499362932748e-06 0.000000000000000000e+00 5.803056258241312548e-02 0.000000000000000000e+00 4.643551634838871678e-01 -6.660302016999963826e-03 -1.361999966583127275e-02 5.179232010385703688e-02 4.361115143497555635e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.310166927281318561e+00 2.649779716486005299e+00 0.000000000000000000e+00 1.095480226480900043e+00 1.102835306507022395e+01 1.116260738789157969e+01 3.925052269397889793e-06 0.000000000000000000e+00 5.045296605915794430e-02 0.000000000000000000e+00 4.289815656641238206e-01 -7.042375470751593980e-03 -1.754502529689005996e-02 4.634557558910046282e-02 4.223655391217668448e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.274955049927560591e+00 2.562054590001554999e+00 0.000000000000000000e+00 1.034101116874749593e+00 1.095298751623513667e+01 1.111521471751436607e+01 4.878966133540510432e-06 0.000000000000000000e+00 4.020037976149382075e-02 0.000000000000000000e+00 3.817651426219050848e-01 -7.565804491509453555e-03 -2.182676738462063781e-02 4.438452475130816310e-02 4.174156466565499823e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.237126027470013323e+00 2.452920753078451810e+00 0.000000000000000000e+00 9.499918988970517120e-01 1.086692252663909386e+01 1.103306127115501312e+01 6.117278469934086335e-06 0.000000000000000000e+00 2.868194888125685793e-02 8.596514685348388696e-04 3.270324105818556149e-01 -8.110261304080879086e-03 -2.429108752684516759e-02 4.839463043003888743e-02 4.424455874970317781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.196574720949608928e+00 2.331465315444225972e+00 0.000000000000000000e+00 8.415782897703234511e-01 1.077041757292190560e+01 1.091273900661874485e+01 7.524427211083629297e-06 0.000000000000000000e+00 2.052791783756902078e-02 1.751374179697884337e-02 2.736825335672179449e-01 -8.674038977726894473e-03 -2.248681031198707103e-02 5.741616364497303948e-02 5.170468073646083268e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.153204526060974455e+00 2.219031263884290617e+00 0.000000000000000000e+00 7.209502112941645890e-01 1.066043665027942744e+01 1.078146377230890529e+01 8.907049118713387346e-06 5.613114139358110766e-04 1.623926077384041378e-02 2.924581718014818144e-02 2.240056936707670587e-01 -9.483242411213232970e-03 -1.764525150391360597e-02 6.724111703061907974e-02 6.230673460122392732e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.105788314004908290e+00 2.130805006364722587e+00 0.000000000000000000e+00 6.093319745991134795e-01 1.054593608778434088e+01 1.067272786141388963e+01 1.016451877853999788e-05 1.008034830652149161e-03 1.330224979264471585e-02 3.282474423430314925e-02 1.785960967765127805e-01 -1.064587238627723309e-02 -1.354565731537071827e-02 7.561376100250072341e-02 7.182130695823121802e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.483857119017411907e+00 2.489911541155878538e+00 1.000000000000000000e+00 1.613870439559830672e+00 1.159980496240307524e+01 1.162793591671658966e+01 8.703878176856612291e-07 2.768253519855226608e-02 3.607660175617333209e-02 3.082537638440807637e-01 3.542749128801048197e-01 -2.940647375028678651e-02 -3.155233203074736537e-02 9.046132273397233803e-03 4.496750444011998055e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
