#T1 T2 L2 LInf 
3.600000000000000000e+01 3.700000000000000000e+01 2.402324851033605952e-03 1.335915962995475569e-02
3.700000000000000000e+01 3.800000000000000000e+01 1.989429080446867507e-03 9.480422685288845269e-03
3.800000000000000000e+01 3.900000000000000000e+01 1.443286150085939558e-03 7.072157273728932672e-03
3.900000000000000000e+01 4.000000000000000000e+01 3.577273792277251355e-03 2.814929441950674016e-02
4.000000000000000000e+01 4.100000000000000000e+01 1.184308504673466968e-02 6.623237378043081436e-02
4.100000000000000000e+01 4.200000000000000000e+01 1.015364008243503646e-02 5.716269030622319475e-02
4.200000000000000000e+01 4.300000000000000000e+01 8.397222281764041979e-03 4.364538355397687419e-02
4.300000000000000000e+01 4.400000000000000000e+01 5.635460019011261437e-03 2.825491963686076191e-02
4.400000000000000000e+01 4.500000000000000000e+01 3.441733692624925935e-03 1.985890442652303925e-02
4.500000000000000000e+01 4.600000000000000000e+01 4.150486652470601091e-03 3.227796082756465706e-02
4.600000000000000000e+01 4.700000000000000000e+01 5.652220201265979044e-03 4.018847367989537150e-02
4.700000000000000000e+01 4.800000000000000000e+01 5.754295825282963912e-03 3.378448151533314237e-02
4.800000000000000000e+01 4.900000000000000000e+01 3.150723437522568761e-03 1.858822576006275221e-02
4.900000000000000000e+01 5.000000000000000000e+01 3.260725842902481228e-03 2.355059923960095211e-02
5.000000000000000000e+01 5.100000000000000000e+01 4.402995764802147653e-03 3.219111884959870856e-02
5.100000000000000000e+01 5.200000000000000000e+01 2.665614196307227596e-03 1.628194661815626082e-02
5.200000000000000000e+01 5.300000000000000000e+01 2.468260616296037539e-03 1.335387668777741899e-02
5.300000000000000000e+01 5.400000000000000000e+01 2.712321422074654917e-03 1.453332415413630119e-02
5.400000000000000000e+01 5.500000000000000000e+01 1.999317376707503320e-03 1.085566918885472187e-02
5.500000000000000000e+01 5.600000000000000000e+01 1.759761845951882857e-03 9.659931217559619698e-03
5.600000000000000000e+01 5.700000000000000000e+01 1.589785332188422846e-03 7.537182429006484760e-03
5.700000000000000000e+01 5.800000000000000000e+01 1.425055903763196600e-03 7.544186529011961441e-03
5.800000000000000000e+01 5.900000000000000000e+01 1.312537098131652015e-03 6.080496577863178653e-03
5.900000000000000000e+01 6.000000000000000000e+01 1.218941003863395489e-02 7.913144124648489874e-02
6.000000000000000000e+01 6.100000000000000000e+01 4.168097969749761343e-03 2.816982117164522348e-02
6.100000000000000000e+01 6.200000000000000000e+01 3.369697023260025907e-03 1.931277546503489678e-02
6.200000000000000000e+01 6.300000000000000000e+01 2.795577212481966094e-03 1.459450132535059300e-02
6.300000000000000000e+01 6.400000000000000000e+01 2.455817430993371530e-03 1.346340795717545884e-02
6.400000000000000000e+01 6.500000000000000000e+01 2.238944464280171256e-03 9.867170224365832965e-03
6.500000000000000000e+01 6.600000000000000000e+01 2.451255997833568651e-03 1.199862667439186709e-02
6.600000000000000000e+01 6.700000000000000000e+01 2.235389531745990074e-03 9.249178861737167995e-03
6.700000000000000000e+01 6.800000000000000000e+01 2.008541111028385243e-03 8.625627166158139625e-03
6.800000000000000000e+01 6.900000000000000000e+01 2.102134795088696131e-03 8.463617683214588738e-03
6.900000000000000000e+01 7.000000000000000000e+01 2.038345207569368378e-03 7.088213028617958156e-03
7.000000000000000000e+01 7.100000000000000000e+01 1.992135401590211085e-03 8.876898531397850456e-03
7.100000000000000000e+01 7.200000000000000000e+01 1.624687141539694337e-03 5.132585002219566817e-03
7.200000000000000000e+01 7.300000000000000000e+01 1.563551999321102261e-03 4.709221093978531100e-03
7.300000000000000000e+01 7.400000000000000000e+01 1.537216306993770352e-03 4.548152210056779013e-03
7.400000000000000000e+01 7.500000000000000000e+01 1.451603887703666529e-03 5.263437232475538102e-03
7.500000000000000000e+01 7.600000000000000000e+01 1.569591980932141025e-03 6.849801588095769111e-03
7.600000000000000000e+01 7.700000000000000000e+01 1.275780172697230444e-03 5.436339414144481831e-03
7.700000000000000000e+01 7.800000000000000000e+01 1.097320052553182228e-03 4.446370697362974495e-03
7.800000000000000000e+01 7.900000000000000000e+01 9.839752078243553784e-04 3.658192100141060589e-03
7.900000000000000000e+01 8.000000000000000000e+01 4.582965488251157862e-03 2.777920696510915305e-02
8.000000000000000000e+01 8.100000000000000000e+01 9.611960828250745888e-04 3.605741866593010873e-03
8.100000000000000000e+01 8.200000000000000000e+01 7.097294508105421972e-04 3.056842241347531956e-03
8.200000000000000000e+01 8.300000000000000000e+01 5.987668461677850707e-04 2.159427017164278033e-03
8.300000000000000000e+01 8.400000000000000000e+01 5.768583838137347807e-04 2.796804195363686123e-03
8.400000000000000000e+01 8.500000000000000000e+01 1.356733913170024347e-03 1.951431197609878113e-02
8.500000000000000000e+01 8.600000000000000000e+01 4.005670400274883246e-04 1.261720757949964106e-03
8.600000000000000000e+01 8.700000000000000000e+01 3.568683027659780185e-04 1.584128149574520706e-03
8.700000000000000000e+01 8.800000000000000000e+01 2.847549020437448934e-04 1.285114850496535356e-03
8.800000000000000000e+01 8.900000000000000000e+01 2.296683875765053785e-04 7.868622095051510095e-04
8.900000000000000000e+01 9.000000000000000000e+01 5.174613720265825931e-04 3.763175324116367973e-03
9.000000000000000000e+01 9.100000000000000000e+01 9.046679944601182608e-04 3.775921579427448955e-03
9.100000000000000000e+01 9.200000000000000000e+01 5.293731473762820511e-04 2.069582938928763230e-03
9.200000000000000000e+01 9.300000000000000000e+01 3.847525019336447451e-04 1.526431402088229868e-03
9.300000000000000000e+01 9.400000000000000000e+01 4.554607498142019184e-04 2.067271593425256716e-03
9.400000000000000000e+01 9.500000000000000000e+01 4.880894346581241992e-04 2.333386819554006484e-03
9.500000000000000000e+01 9.600000000000000000e+01 5.935784962917769764e-04 3.221618850062201930e-03
9.600000000000000000e+01 9.700000000000000000e+01 7.019925406043201225e-04 3.256183886115436403e-03
9.700000000000000000e+01 9.800000000000000000e+01 8.860899329414013851e-04 4.658339884074593103e-03
9.800000000000000000e+01 9.900000000000000000e+01 9.029508832500438703e-04 4.913632520469947765e-03
9.900000000000000000e+01 1.000000000000000000e+02 6.890732501946630634e-04 3.430593157558919047e-03
1.000000000000000000e+02 1.010000000000000000e+02 6.562451799493446668e-04 3.189161096573018064e-03
1.010000000000000000e+02 1.020000000000000000e+02 5.411332282733401829e-04 2.885415388754811877e-03
1.020000000000000000e+02 1.030000000000000000e+02 4.995030737351299722e-04 2.158505742358133531e-03
1.030000000000000000e+02 1.040000000000000000e+02 4.175438647949839249e-04 2.118449586679532759e-03
1.040000000000000000e+02 1.050000000000000000e+02 5.418225963546930216e-04 2.862775169898365904e-03
1.050000000000000000e+02 1.060000000000000000e+02 8.601662815751615065e-04 3.597614229272857490e-03
1.060000000000000000e+02 1.070000000000000000e+02 5.648238147503332768e-04 2.396139644834964760e-03
1.070000000000000000e+02 1.080000000000000000e+02 5.150100244724115008e-04 2.266705821849948274e-03
1.080000000000000000e+02 1.090000000000000000e+02 4.677020487414052961e-04 2.128793432066444172e-03
1.090000000000000000e+02 1.100000000000000000e+02 9.982563233920736367e-04 5.957072057914810856e-03
1.100000000000000000e+02 1.110000000000000000e+02 5.751075962671296869e-04 2.171165675087606117e-03
1.110000000000000000e+02 1.120000000000000000e+02 3.510427608819048769e-04 1.475896346654114897e-03
1.120000000000000000e+02 1.130000000000000000e+02 2.764619828018327358e-04 9.874998415129395985e-04
1.130000000000000000e+02 1.140000000000000000e+02 2.162263808142848636e-04 8.112956271494936502e-04
