# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
9.604009732260722743e+00 7.007770558642794967e+00 -2.820501083281326871e+00 1.000000000000000000e+00 4.408531485086552570e-01 1.980099997500124775e+00 1.308093126259201711e+00 5.929805104798058224e-02 -1.619368965188683618e-01 -7.841195913564302789e-01 -6.104086405480971256e-02 1.672409989916914851e-12 1.840436223560226736e-12 4.984825150332728057e-03 1.305924118844004056e-12
4.548120822691328335e+00 9.115862435140696718e+00 -6.319317330332826721e+00 1.611989281080303815e-01 8.711092298884670626e-01 7.832443798415693603e-01 1.846777886070520625e+00 -1.128395131572843685e-01 -7.554465923141765460e-01 7.294867548293956228e-01 1.242588893416517876e-01 1.055056216003880110e-12 1.272572758975742957e-12 9.980935349040986893e-13 8.300114068271469137e-13
6.386061293213034951e+00 7.832759696642243696e+00 -3.778853836515128073e+00 4.492654323103614789e-01 7.272528443121698549e-01 1.320697676881006810e+00 1.685701999622758906e+00 -4.501777989961582016e-02 -1.101750969227003607e-01 2.024054971852151941e-01 2.694717117364751197e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.768290435342569467e+00 3.476141030923462605e+00 1.123828973536189935e+00 2.893264851913438657e-03 1.380568300452654495e-01 8.942157111624512988e-02 7.233978284636177758e-01 -1.808068143810956027e-02 -6.433689144906179491e-02 1.795585150373982808e-01 4.431033629060339429e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.755565769288494060e+00 2.853679446491186766e+00 7.302217185795356613e-01 1.467287474816731385e-01 2.348973567571134222e-02 7.463648241016390683e-01 2.871886004622238309e-01 1.255799900506189004e-01 -1.549580661078537036e-01 -8.524260095373749069e-01 -4.910269909592837601e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.483628032686894471e+00 1.750403706969988038e+00 6.866551376206917467e-01 1.554973875250309778e-01 1.025329212504170148e-16 7.689265085962346813e-01 1.025329212504170098e-14 9.012279770785662503e-02 -1.763286913239112963e-01 -6.590349788535472264e-01 -3.702503778169346366e-02 3.054076089248347614e-13 2.931047958732108452e-13 2.748699705346080435e-13 2.898572410602517566e-13
3.517318536497691106e+00 6.157172906778237476e+00 -1.481703565311986992e+00 1.388476191317676300e-01 4.009918389030163177e-01 7.255142959110393308e-01 1.246644795286998342e+00 -7.577935346462968957e-02 -3.158331991180500786e-01 4.031562956368765493e-01 7.163926429318356881e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.770540085916501916e+00 4.364145335278950988e+00 3.005920769216547939e-01 2.588671390837920527e-01 1.946171406099905243e-01 9.977764624710341312e-01 8.625449006521711537e-01 6.436693596874239545e-03 -7.062314943162799341e-02 -3.178139944993286226e-01 -1.014605791721875580e-02 3.733706052666541098e-13 3.982547798486724133e-13 3.460572757171820335e-13 3.240016761829611625e-13
4.032291221904388934e+00 2.033944791998589352e+00 9.984388938843569150e-01 1.521827933985060999e-01 0.000000000000000000e+00 7.604782555782022557e-01 0.000000000000000000e+00 6.061851069761150373e-02 -1.490350261641020801e-01 -5.486884039505625088e-01 -1.031084989740621571e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.584210450701793782e+00 7.770644041645460298e+00 -3.666949967931356191e+00 4.977630114956397289e-01 6.957468758964245881e-01 1.391191694011635560e+00 1.648355186818752705e+00 -4.121755573397861694e-02 -5.067698826595237044e-02 1.515960159679838326e-01 2.248689102754401412e-02 1.282729998608456157e-12 1.302270791203596900e-12 1.141439373575359184e-12 1.140707320268496971e-12
2.082733282300016864e+00 6.700055658186665930e+00 -2.410770046533728284e+00 1.275293951405150235e-03 5.465334652041026198e-01 5.417207977861719648e-02 1.458699256499671248e+00 -8.799511303225514280e-02 -7.137046530322052051e-01 8.481626674274966859e-01 1.150713854565055122e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.086433942609212666e+00 5.185407257565338490e+00 -6.725056931926349790e-01 0.000000000000000000e+00 3.029066275961422305e-01 0.000000000000000000e+00 1.080930028739544246e+00 -8.971739335750124333e-02 -5.728965891626491835e-01 7.161469672307060330e-01 1.089883057236329666e-01 1.320608886481491591e-13 1.508346399170523711e-13 1.606431505267272590e-13 1.413131764382846711e-13
2.237713016366424057e+00 5.526885560824235988e+00 -8.321357472713124537e-01 1.166929488082449166e-02 3.325017520435044061e-01 1.969728041898958504e-01 1.133442416766019312e+00 -6.352481522558880989e-02 -4.396277807034512097e-01 5.399774996110060510e-01 8.824753683511857294e-02 1.010329081681249352e-12 1.100333366088612763e-12 9.136006838203480918e-13 8.419723251940069986e-13
5.816830479317998126e+00 6.751603252553008971e+00 -2.157069413999220586e+00 2.925530472870671028e-01 4.827765588293879140e-01 1.061948432205742643e+00 1.369794200211331248e+00 -1.469728107231659670e-02 1.452378236015930760e-02 -2.404316134091234302e-03 2.380218262298385706e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.379596668481658739e+00 2.253904627281869910e+00 1.688006454292683145e-01 1.616191419267212492e-01 1.189498893174115667e-15 7.842963144809222964e-01 1.189498893174115533e-13 2.192273366128349721e-01 -2.326612705414018989e-01 -1.229163099612351484e+00 -9.229356498260510300e-02 5.238405195728823571e-13 6.446632693678710710e-13 5.069490834064271922e-13 6.209310274068666202e-13
8.018338373686599851e+00 6.243159389891005162e+00 -1.752449153939769744e+00 3.337133843794939936e-01 3.399852863861144714e-01 1.135531716033832517e+00 1.146345767571410379e+00 1.013256338503479986e-01 -7.814627849465377585e-02 -5.890778276208921138e-01 -3.794540394909916986e-02 1.259514953270979287e-13 1.040092491300104172e-13 5.675521901407631908e-14 7.684738262403456588e-14
1.939390584145533447e+00 1.512066116201447485e+00 1.267902827738362603e+00 9.691552373929722408e-02 1.049256764679039127e-15 6.029562030807863460e-01 1.049256764679039064e-13 -1.202744102952563350e-02 -1.069533129241853481e-01 -1.482791265138912185e-01 2.173134513939671553e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.767155119197958868e+00 9.083766285088218595e+00 -6.234038533580903874e+00 2.006806072703659072e-01 8.756030404382120214e-01 8.761743504442677244e-01 1.851585328609037573e+00 -1.113217908975007719e-01 -7.041161121584846860e-01 6.771073778130315413e-01 1.160356355422722946e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.663479143666243054e+00 4.760451698222209593e+00 -1.150213088795766225e-01 2.626689824925581007e-01 2.171150446899941799e-01 1.005220608812130267e+00 9.121352938205857797e-01 3.924800903130060831e-02 -7.620272828867298565e-02 -4.359663180141871708e-01 -2.064464617084943096e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.881378241924767991e+00 3.643089003364675893e+00 1.437858888858407624e-01 1.522057760025405937e-01 7.060674452242503285e-02 7.605283949409726851e-01 5.118233490020557275e-01 2.083688403425971170e-01 -1.755007006814030546e-01 -1.182305671889719134e+00 -9.364198421880158552e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.694754823446287695e+00 4.102716372565468061e-01 -7.525633673113105715e-01 6.953284009995819304e-02 0.000000000000000000e+00 5.077700421990811730e-01 0.000000000000000000e+00 5.628907898853224151e-02 -8.205432745089953628e-02 -3.616330835849576597e-01 4.135928935270440088e-02 0.000000000000000000e+00 7.656000651203123675e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.412388191127629256e+00 3.383553814476111921e+00 3.050554612820395306e-01 1.445804344942387132e-01 6.019667684994058771e-02 7.407386921602183705e-01 4.711163689560710632e-01 1.943275044698188625e-01 -1.741077786483993806e-01 -1.154580654444760324e+00 -8.906824446928880701e-02 1.475368221690032122e-13 1.446280161604418524e-13 1.297344393372257265e-13 1.310739711213315672e-13
5.328696690466093955e+00 4.617250823672046423e+00 3.798146400631807751e-02 2.444566346838482895e-01 2.091185108096220158e-01 9.690534203441776295e-01 8.948173401960762829e-01 3.050526493861056843e-02 -7.121174883359422669e-02 -3.909463988897856623e-01 -1.658096023995752136e-02 2.679267127169565610e-13 2.993161274389422033e-13 2.675314126048683461e-13 2.493222642230286112e-13
8.548947693944413118e+00 4.065083430251240082e-01 -3.349020361165635506e+00 2.696577381440392052e-01 0.000000000000000000e+00 1.018773989153233694e+00 0.000000000000000000e+00 2.703104587089303346e-01 -8.130166860227557024e-02 -1.518281718704282524e+00 7.668590684016270143e-02 0.000000000000000000e+00 2.350650071692840237e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.873376414626235942e+00 8.709114403520281655e+00 -5.536063735601003621e+00 9.999999999999852340e-01 8.340339231743164605e-01 1.980099997500110121e+00 1.806624261294311085e+00 5.424714574877809170e-03 -8.212076552462137247e-02 -4.268719385572922187e-01 -3.661708139837967224e-02 4.282104226419945303e-13 4.131603913160031283e-13 2.105052062503008289e-02 3.620207432442068551e-13
