# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
9.604009732260722743e+00 7.007770558642794967e+00 -8.771103813095880497e+00 3.789496538066407516e-01 5.101881258005995790e-01 1.211346109755477407e+00 1.408689104602813158e+00 -4.869609200240501146e-01 -1.953937518251350897e-02 -7.359608632920301430e-01 -2.031965014723142136e-03 1.800129489915036629e-12 1.189320614648076146e-12 5.103256809189221643e-01 1.204816953669085589e-12
4.548120822691328335e+00 9.115862435140696718e+00 -6.658585693391909643e-01 1.618311125943089346e-01 8.700961146255338230e-01 7.848226741517844163e-01 1.845686056320315460e+00 -1.130148791916612133e-01 -7.547294592086527532e-01 7.287671840364819964e-01 1.243802037578308900e-01 5.371343406294424969e-13 5.075006789698285756e-13 4.521206915484796940e-13 4.703552902249786413e-13
6.386061293213034951e+00 7.832759696642243696e+00 -2.384909016640401447e+00 4.505102700667441007e-01 7.293851680620417888e-01 1.322558732206448484e+00 1.688198077613505932e+00 -4.522456382446395778e-02 -1.105246578902673443e-01 2.016425925973589217e-01 2.666982917523649799e-02 1.637886441058222786e-12 1.501640690048863802e-12 1.501996010205841614e-12 1.052519074500046781e-12
1.768290435342569467e+00 3.476141030923462605e+00 1.166091138805514404e+00 2.800697934569122173e-03 1.379061596936358436e-01 8.772549832059001185e-02 7.229838555532812627e-01 -1.789222890523930326e-02 -6.419018195312814479e-02 1.794904403254402037e-01 4.435633328073215753e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.755565769288494060e+00 2.853679446491186766e+00 -6.555696219431473182e+00 1.251080567667830767e-01 1.130007174096674533e-01 6.876987178648188426e-01 6.526112813092341813e-01 -5.416873510779588452e-01 8.221337621975913224e-02 -6.365059488588460379e-01 1.435993780105450368e-01 0.000000000000000000e+00 1.283360019685608477e-01 5.247690821273902628e-01 2.846941432599336963e-14
4.483628032686894471e+00 1.750403706969988038e+00 -6.218372389139647183e+00 1.250636772704931954e-01 1.135921131049784233e-01 6.875730607531866934e-01 6.543656565410358450e-01 -2.872633049592676624e-01 3.027142656225646489e-01 -3.825954777780179450e-01 3.638972808001922910e-01 1.357256015559744453e-12 3.488617034226506042e-01 2.703778882297916408e-01 1.099421239872682448e-12
3.517318536497691106e+00 6.157172906778237476e+00 3.788518871942656574e-01 1.375852967911347369e-01 4.009171721599446014e-01 7.221263639500475895e-01 1.246521339855260369e+00 -7.540291658006831321e-02 -3.154350742245520811e-01 4.035243144790200409e-01 7.165298156339572344e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.770540085916501916e+00 4.364145335278950988e+00 -1.972740053897348744e+00 2.644013867471552981e-01 2.003782937058257441e-01 1.008599555703052930e+00 8.754965764967289621e-01 -1.762043383200336821e-01 -5.132313877101927352e-02 -3.021350645911639043e-01 8.574696544664979492e-03 4.185584170923739578e-13 3.792843860164762937e-13 1.451507728021899091e-01 3.705439817827671511e-13
4.032291221904388934e+00 2.033944791998589352e+00 -4.748615207767629798e+00 1.252746771113560365e-01 1.138158196138132627e-01 6.881714616992905542e-01 6.550284570421412988e-01 -1.969883428917024171e-01 2.460560513772576952e-01 -2.927455673752074605e-01 3.072037422728170486e-01 0.000000000000000000e+00 2.922316960285970544e-01 1.800425649894447921e-01 0.000000000000000000e+00
6.584210450701793782e+00 7.770644041645460298e+00 -2.655798294692676365e+00 4.965614163639236467e-01 6.988391646541032287e-01 1.389491429370610209e+00 1.652052029112712095e+00 -4.102863744074027041e-02 -5.198803243702387888e-02 1.507326958467108957e-01 2.207613077254586692e-02 5.281816650715143169e-13 4.223764350427816616e-13 5.662996113708906876e-13 3.716330628650288403e-13
2.082733282300016864e+00 6.700055658186665930e+00 7.747288450934703974e-01 1.257983138934180628e-03 5.466403268020733064e-01 5.370184823144895370e-02 1.458845739856653001e+00 -8.794286508256521362e-02 -7.136863697459989719e-01 8.481580076289438885e-01 1.150551095280544223e-01 2.643819814766509846e-13 2.681912851520973362e-13 2.610284628419903830e-13 2.547775358741066754e-13
1.086433942609212666e+00 5.185407257565338490e+00 2.138944800054662920e-01 4.595948736326394963e-15 3.027491822124298571e-01 4.595948736326393985e-13 1.080643538213289068e+00 -8.971739335707999696e-02 -5.729205970779072121e-01 7.162569458213092766e-01 1.090201380044740070e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.237713016366424057e+00 5.526885560824235988e+00 9.410887505002953901e-01 1.143443328038219395e-02 3.322717969545099792e-01 1.948063658676221499e-01 1.133034224942544466e+00 -6.328409985651851921e-02 -4.394688108133784077e-01 5.408703338502153235e-01 8.829289148188737557e-02 5.924544708990620023e-13 5.969851349374444283e-13 5.790420226636783241e-13 5.749571825586219376e-13
5.816830479317998126e+00 6.751603252553008971e+00 -1.652221532222437617e+00 2.933893286572903381e-01 4.812930884962456912e-01 1.063501862644842033e+00 1.367650669648683648e+00 -1.486988445445716275e-02 1.439730913844432421e-02 -2.032725821458373529e-03 2.404035268561837899e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.379596668481658739e+00 2.253904627281869910e+00 -1.100330813060019608e+01 1.252082411496072967e-01 1.140893428703511070e-01 6.879806700246496876e-01 6.558443860045628515e-01 -8.663436944840545717e-01 2.021625492624782860e-01 -9.616753983265995398e-01 2.632074646821370711e-01 1.285282508678084468e-13 2.483172795256460286e-01 8.494274066597855555e-01 6.394255784580860080e-14
8.018338373686599851e+00 6.243159389891005162e+00 -6.293220565788961274e+00 3.418671678260217228e-01 3.689306411401010455e-01 1.149563791074321051e+00 1.194958882107164388e+00 -4.066990951079390570e-01 -2.305414904248217350e-02 -5.308288608878155568e-01 1.292709549234367407e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.051724876065115888e-01 0.000000000000000000e+00
1.939390584145533447e+00 1.512066116201447485e+00 -1.774967715158773274e+00 1.171041429735673600e-01 4.403663441670923467e-02 6.647087704454436308e-01 4.001749788224618909e-01 -4.957711372441487435e-02 1.654870901923008453e-01 -7.666566700467881967e-02 2.534619454929117333e-01 2.665296369025460521e-13 2.209555895117474855e-01 2.701664846699314282e-13 2.456347842141881621e-13
4.767155119197958868e+00 9.083766285088218595e+00 -8.481190883157019300e-01 2.010618412193708182e-01 8.774736705114712931e-01 8.770309808694966014e-01 1.853578251664534493e+00 -1.114169720557110221e-01 -7.040522464566624228e-01 6.763843183790685387e-01 1.158141996473563140e-01 4.933890752553682368e-13 4.669392043160636163e-13 3.916573012088808703e-13 4.080369939499228771e-13
5.663479143666243054e+00 4.760451698222209593e+00 -3.260029990623174889e+00 2.748737963628168912e-01 2.290793410526049678e-01 1.028764658563743550e+00 9.374538022703423623e-01 -2.744911766520957142e-01 -4.351633880795730686e-02 -4.099359458723789706e-01 1.111142846307642054e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.488985441228183659e-01 0.000000000000000000e+00
7.881378241924767991e+00 3.643089003364675893e+00 -9.245078547228388288e+00 1.546340238524817612e-01 1.377759615512375302e-01 7.667307419602783503e-01 7.226348555875266033e-01 -9.457123761690785502e-01 -4.777088986426211020e-02 -1.042419300360555523e+00 1.108918914306150985e-02 3.035807282641966864e-13 1.464425369163135926e-13 9.227136534746581686e-01 2.154177444063654079e-13
2.694754823446287695e+00 4.102716372565468061e-01 -5.386828334679075070e+00 7.844653602332080089e-02 9.193007054067248163e-02 5.405284316143785794e-01 5.867316414375164380e-01 -1.776125462261542165e-02 5.499005459144373775e-01 -3.986554686055490682e-02 6.098614978332986825e-01 4.415864375550970777e-13 5.835156969810548766e-01 4.350129197833174644e-13 3.135922511249278344e-13
7.412388191127629256e+00 3.383553814476111921e+00 -8.809590957535817779e+00 1.251290658673136769e-01 1.136011747748811307e-01 6.877605843712669698e-01 6.543946889224689922e-01 -8.730907309934827776e-01 -2.392404742266145481e-02 -9.692709106106156547e-01 3.726766270177103019e-02 0.000000000000000000e+00 2.222971133569686536e-02 8.561737855808722042e-01 0.000000000000000000e+00
5.328696690466093955e+00 4.617250823672046423e+00 -2.769149402967594931e+00 2.708327653632747745e-01 2.190164378327036365e-01 1.021029551394045276e+00 9.162011469610585879e-01 -2.348512970731233274e-01 -4.648281867845632798e-02 -3.671267546326932307e-01 9.885443046093626146e-03 2.503262354347501883e-13 2.203786198667900820e-13 2.076651490718719184e-01 1.778965429827250588e-13
8.548947693944413118e+00 4.065083430251240082e-01 -1.703680232611687373e+01 1.252449867459013433e-01 1.152264309332097364e-01 6.880866733983100891e-01 6.591949617689495389e-01 -1.100235181632234660e+00 5.715887728151342051e-01 -1.195536739011507477e+00 6.322681141131653026e-01 1.307052204099420911e-13 6.177581608340690922e-01 1.083309478823942351e+00 1.019940384862534784e-13
