# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.920801946452144193e+00 1.401554111728558816e+00 7.179498916718674906e+00 1.000000000000000000e+00 4.408531485086552570e-01 1.980099997500124775e+00 1.308093126259201711e+00 5.929805104798058224e-02 -1.619368965188683618e-01 -7.841195913564302789e-01 -6.104086405480971256e-02 1.672409989916914851e-12 1.840436223560226736e-12 4.984825150332728057e-03 1.305924118844004056e-12
9.096241645382654450e-01 1.823172487028139166e+00 3.680682669667175055e+00 1.611989281080303815e-01 8.711092298884670626e-01 7.832443798415693603e-01 1.846777886070520625e+00 -1.128395131572843685e-01 -7.554465923141765460e-01 7.294867548293956228e-01 1.242588893416517876e-01 1.055056216003880110e-12 1.272572758975742957e-12 9.980935349040986893e-13 8.300114068271469137e-13
1.277212258642606679e+00 1.566551939328448384e+00 6.221146163484873703e+00 4.492654323103614789e-01 7.272528443121698549e-01 1.320697676881006810e+00 1.685701999622758906e+00 -4.501777989961582016e-02 -1.101750969227003607e-01 2.024054971852151941e-01 2.694717117364751197e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.536580870685138156e-01 6.952282061846923877e-01 1.112382897353619171e+01 2.893264851913438657e-03 1.380568300452654495e-01 8.942157111624512988e-02 7.233978284636177758e-01 -1.808068143810956027e-02 -6.433689144906179491e-02 1.795585150373982808e-01 4.431033629060339429e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.151113153857698634e+00 5.707358892982372645e-01 1.073022171857953744e+01 1.467287474816731385e-01 2.348973567571134222e-02 7.463648241016390683e-01 2.871886004622238309e-01 1.255799900506189004e-01 -1.549580661078537036e-01 -8.524260095373749069e-01 -4.910269909592837601e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.967256065373786500e-01 3.500807413939975299e-01 1.068665513762069352e+01 1.554973875250309778e-01 1.025329212504170148e-16 7.689265085962346813e-01 1.025329212504170098e-14 9.012279770785662503e-02 -1.763286913239112963e-01 -6.590349788535472264e-01 -3.702503778169346366e-02 3.054076089248347614e-13 2.931047958732108452e-13 2.748699705346080435e-13 2.898572410602517566e-13
7.034637072995381102e-01 1.231434581355647317e+00 8.518296434688014784e+00 1.388476191317676300e-01 4.009918389030163177e-01 7.255142959110393308e-01 1.246644795286998342e+00 -7.577935346462968957e-02 -3.158331991180500786e-01 4.031562956368765493e-01 7.163926429318356881e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.541080171833001833e-01 8.728290670557899977e-01 1.030059207692165657e+01 2.588671390837920527e-01 1.946171406099905243e-01 9.977764624710341312e-01 8.625449006521711537e-01 6.436693596874239545e-03 -7.062314943162799341e-02 -3.178139944993286226e-01 -1.014605791721875580e-02 3.733706052666541098e-13 3.982547798486724133e-13 3.460572757171820335e-13 3.240016761829611625e-13
8.064582443808776535e-01 4.067889583997177927e-01 1.099843889388435869e+01 1.521827933985060999e-01 0.000000000000000000e+00 7.604782555782022557e-01 0.000000000000000000e+00 6.061851069761150373e-02 -1.490350261641020801e-01 -5.486884039505625088e-01 -1.031084989740621571e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.316842090140358579e+00 1.554128808329091838e+00 6.333050032068645585e+00 4.977630114956397289e-01 6.957468758964245881e-01 1.391191694011635560e+00 1.648355186818752705e+00 -4.121755573397861694e-02 -5.067698826595237044e-02 1.515960159679838326e-01 2.248689102754401412e-02 1.282729998608456157e-12 1.302270791203596900e-12 1.141439373575359184e-12 1.140707320268496971e-12
