# w_1 w_2 w_3 w_4 VF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
9.604009732260722743e+00 7.007770558642794967e+00 4.548120822691328335e+00 9.115862435140696718e+00 -6.696880071691024838e+00 1.000000000000000178e+01 8.796185158492058065e+00 1.307405032426981695e+00 5.315827855813043179e+00 1.980099997500125042e+01 1.855866216817399561e+01 7.034380825640872636e+00 1.438331650716905052e+01 5.929805104796858073e-01 -3.787195955843863704e+00 -5.187485808934539477e+00 -1.206451379335621077e+01 -1.900157758653593820e+00 -1.219045407841532702e+00 -5.061336267838920655e-01 -7.551181121734984458e-01 -2.454536433652507732e+00 6.998224313154017828e+00 -9.889687833483414847e-01 7.196749967475302157e+00 -6.562512421216158742e+00 -1.721664249192106766e+01 -7.123360842428833273e+00 1.239643882557230903e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.984825148530865578e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.386061293213034951e+00 7.832759696642243696e+00 1.768290435342569467e+00 3.476141030923462605e+00 1.382529733181216969e+00 2.475825714364611407e+00 6.606315300058164475e+00 1.432089542669114234e-14 1.003676553027148088e+00 9.753543518549097513e+00 1.605707882747305604e+01 1.432089542669113793e-12 6.139326795640718260e+00 -6.646299341079257850e-02 5.788305410584758448e+00 -5.047888665092181704e-01 2.832351149567194248e+00 4.418788038881627522e-01 3.583540638202257766e-01 -1.503329838451713529e+00 6.734148710823995021e-01 -1.416650864586504355e+00 1.599661057793169583e+01 -6.247339541198892315e-02 1.070286989748456596e+00 -6.524677429723769739e-01 -1.007671488666809889e+00 -1.301742058458828927e-02 3.939462465700342975e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.755565769288494060e+00 2.853679446491186766e+00 4.483628032686894471e+00 1.750403706969988038e+00 -4.392162737389089244e-01 8.762480983617173536e+00 3.595146058283317236e-01 1.140145093514957741e+00 0.000000000000000000e+00 1.852269316483889483e+01 3.597444434502418797e+00 6.556169932004514145e+00 0.000000000000000000e+00 2.701713119235675184e-02 -1.165081638941478870e+00 -5.783473284492225197e+00 -4.974986297142867109e+00 -3.145321282932249662e+00 -5.716445942794515789e-01 -1.490637512363866879e+00 -1.719285460088349204e-01 -4.459661216428081887e-01 9.975528475813635332e-01 9.967582794559004533e-01 -5.162407639699599038e+00 -2.454597934356739675e+00 -3.254234013921385671e+00 -1.415636911608156634e+00 -9.692794524794021149e-02 1.991257534619760673e-12 1.986305605931606482e-12 2.045618882617894485e-12 1.867551860066732632e-12 1.994335057415316472e-12 2.002224475708194320e-12 1.954475426987900555e-12 2.121977868373882826e-12
3.517318536497691106e+00 6.157172906778237476e+00 4.770540085916501916e+00 4.364145335278950988e+00 5.232028643091286568e-01 4.003641493875224056e-01 3.138190034450942356e+00 4.645283568522032280e-01 1.808972141622483321e+00 3.806814941655993323e+00 1.100569504474697879e+01 4.115225838996419583e+00 8.308754050812140690e+00 -3.746459771513388493e-01 7.606034156048706585e+00 -4.089138546336279489e-01 5.721037620540778690e+00 8.084536360404926958e-01 8.786985216122736864e-01 2.988970239986402655e-01 9.077835060246876031e-01 -9.740526519593875054e-01 8.398296464678638884e+00 7.112446371517870958e-01 -3.572077279823357987e+00 -4.996246806789703676e+00 -7.546446668587729611e-01 -2.903638005777263165e-01 -2.563277569728866778e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.032291221904388934e+00 2.033944791998589352e+00 6.584210450701793782e+00 7.770644041645460298e+00 -8.771555848519085430e+00 1.819794609560193788e+00 4.214210239940372027e+00 1.579317624210363258e+00 1.162109322161756220e+00 8.334153993386422599e+00 1.278493009598491881e+01 7.750646438971095620e+00 6.620880555617172369e+00 5.251438361319528125e-01 5.798216339989944679e+00 -3.773281777209298138e+00 -8.064582443808147261e+00 -1.676378373740790018e+00 -1.523656287416937261e+00 -1.500383377756159708e+00 -8.387618940426644354e-01 1.453477135288535338e-01 -1.235369178299677628e+01 2.855926493521663279e-01 -2.554148768391280022e+00 -7.484819619463701557e+00 3.396424741511139822e-01 5.404564355288785649e-01 1.202077919243244475e+00 2.435908625840027238e-13 2.389706333793849404e-13 2.538121622597255822e-13 2.626417963322302818e-13 2.372613745808106007e-13 2.400043471670500621e-13 2.321487186512927181e-13 2.093208419096104222e-13
2.082733282300016864e+00 6.700055658186665930e+00 1.086433942609212666e+00 5.185407257565338490e+00 -3.649684445976753011e-01 2.323343538858065660e+00 2.511164233994577888e+00 8.117778224854429986e-17 3.044057268022812401e+00 9.442289810497834779e+00 9.824298949658251345e+00 8.117778224854430972e-15 1.083641458242948907e+01 -1.868903242846081669e+00 1.563553341040107902e+01 -8.197599305682371496e-01 1.199813666387181676e+01 -1.258805194138348460e+00 1.679902034047891624e+00 -2.583661854988311024e+00 1.567444741517888041e+00 -2.172867885218310757e+00 1.762813208978261770e+01 -8.516297856306213054e-01 7.103858893862913249e+00 -1.037081451513064856e+01 -3.044009849062363049e+00 -2.367067017502070936e+00 6.769730262918300934e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.237713016366424057e+00 5.526885560824235988e+00 5.816830479317998126e+00 6.751603252553008971e+00 -2.459619196701154920e+00 2.977053971292416890e+00 6.041507932714699436e+00 5.012691065273008340e-01 4.850134823271679885e+00 1.071430982141915145e+01 1.534671403581321236e+01 4.282273406581382780e+00 1.373002436386786940e+01 -1.606868349981796618e+00 7.498459874819714877e+00 -8.921976372213294981e-01 3.616760267297868481e+00 -1.042215250498546242e+00 4.366653829977680812e-01 -1.898621864374911317e+00 6.162975687693037496e-01 -1.065515499827126122e+00 -8.362016351784973267e+00 5.675480995878441348e-01 8.115973466449419860e-01 -1.275697148296743189e+00 -7.720707876027256278e-01 4.711388546045902626e-01 1.409798420457107071e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.379596668481658739e+00 2.253904627281869910e+00 8.018338373686599851e+00 6.243159389891005162e+00 -6.249314166090156775e+00 9.640679055888009330e+00 6.511462860965724353e+00 1.166501667563826228e+00 1.994943720792415331e-01 1.943841037955420603e+01 1.593996637043054854e+01 6.633747580578511105e+00 2.631925111734188416e+00 9.038903400470549299e-01 -1.285297004911726937e+01 -9.131914055491385795e+00 -1.475919333696253233e+01 -4.191244523712070347e+00 -2.694043024317172907e+00 -2.246489073405800063e+00 -1.215371773350552687e+00 -8.198393732284101065e-02 3.673218974364927281e+00 1.518150969768284897e+00 -4.497842905958160387e+00 -8.791597133938363839e+00 -8.467318567149614950e+00 -2.517720451713993390e-01 7.793452548862269680e-01 6.808847463795529792e-13 7.620315985886253518e-13 6.523175554405680199e-13 7.648413694917588490e-13 5.349495946923806845e-13 6.415566412496981927e-13 5.571385909043657936e-13 7.469376137568539686e-13
1.939390584145533447e+00 1.512066116201447485e+00 4.767155119197958868e+00 9.083766285088218595e+00 -1.150220676981102663e+01 9.929775921254389459e+00 9.967175656884524670e+00 6.798318985365736644e-01 2.793657364965826950e+00 1.973065570559699111e+01 1.976815029682122216e+01 5.018557367796887547e+00 1.037290379217710878e+01 -1.642618151935390847e+00 9.975218891954412470e+00 -7.940558851621105571e-03 -3.878781168291066894e+00 -3.024132232402845677e+00 -1.979147692696786365e+00 -1.013772491186688551e+00 -9.352314144016574682e-01 -9.534310238395905301e+00 1.026668973660528472e+01 -6.493459919442939876e-01 1.026668973660533446e+01 -1.816753257017641943e+01 -1.816753257017639811e+01 -2.649592970806180503e+00 1.633467404822220637e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.663479143666243054e+00 4.760451698222209593e+00 7.881378241924767991e+00 3.643089003364675893e+00 3.501608316795490339e-01 9.091788054087446724e+00 8.951613003556619930e+00 1.397058229782661920e+00 1.546408323980399957e-01 1.887122235630159750e+01 1.872364975744016746e+01 7.278126921315040576e+00 2.295122528225582492e+00 -5.874106061514561272e-01 7.005596188792620360e+00 -1.480992517978045209e+00 -6.859197357009659823e-01 -5.066492042411598895e+00 -1.273368330511717383e+00 -5.581724741218500041e-01 5.520235838455603838e-01 -1.576275648384948269e+01 -1.576275648384947381e+01 2.072947081675462488e+00 -9.212905942878210297e+00 -7.286178006729278067e+00 -7.286178006729351786e+00 -1.309107980544145233e+00 -1.989119225770749899e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
