# w_1 w_2 w_3 w_4 VF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
9.604009732260722743e+00 7.007770558642794967e+00 4.548120822691328335e+00 9.115862435140696718e+00 -6.082891086532189462e-01 9.999999999999882760e+00 1.306220299006211949e+00 1.307603003041579948e+00 5.319814159671598652e+00 1.980099997500112963e+01 7.031100328459630511e+00 7.034927139962015019e+00 1.438878221180436690e+01 5.929805104798059334e-01 -2.677491656673252507e+00 -5.189106154171436280e+00 -1.205846232765397552e+01 -1.167988511995504730e+01 6.179479657122376873e-02 -5.061692485968550814e-01 -7.557254126890544654e-01 -2.474024158421167741e+00 9.772106261001356486e+00 -9.890294849406827682e-01 7.197805488053622192e+00 -1.421093387872091363e+01 -1.540270374519298713e+01 -7.124069380355137149e+00 1.239036582043571810e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.984825148255813028e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.386061293213034951e+00 7.832759696642243696e+00 1.768290435342569467e+00 3.476141030923462605e+00 1.187833997943370079e+00 4.133268446647478278e+00 3.801817227114273834e+00 4.810704014514193345e-16 1.001054931316093244e+00 1.265965543340969823e+01 1.213339730508756453e+01 4.810512230719475913e-14 6.131050250102170196e+00 -3.893643172840136057e-01 -3.276232887550352579e+00 -5.056576120006518460e-01 2.842304079148259000e+00 -7.139514106302415897e+00 7.943186774188752963e-01 -1.502919213035528667e+00 6.778583303928742421e-01 -2.390843901058379295e+00 7.282063039347016264e+00 -6.247339541311829753e-02 1.072426531735154676e+00 -2.820764044633673251e+00 -2.130153778343205850e+00 -1.301742058508567786e-02 3.948658627419103784e-01 1.428723203445878350e-12 1.425141695179040026e-12 1.389943724980362096e-12 1.440737301730905557e-12 1.423938053616415841e-12 1.425049425295086124e-12 1.468043893769506295e-12 1.418685149584885300e-12
5.755565769288494060e+00 2.853679446491186766e+00 4.483628032686894471e+00 1.750403706969988038e+00 -9.880143649473669853e+00 1.580531219345299443e-01 6.277413474986501818e+00 5.626685382565324023e-01 4.824211129413389369e-16 2.322325293848213068e+00 1.564728806452759891e+01 4.548348679697881813e+00 4.824211129413389132e-14 1.827058005747082881e+00 2.134164357946680024e+00 -5.619806511994817733e+00 -4.826096780032897549e+00 -2.577680906243763115e+00 -1.910516108726576956e+00 -1.379715633397133656e+00 -1.719285460012775768e-01 -4.386173663938889078e+00 7.260056273910983293e+00 -3.327700100571959307e+00 -5.099024782157377089e+00 -1.839669327602044602e+00 -2.304652131400667159e+00 -9.395354553628120220e-01 2.682516320345896821e-01 3.652108023077392691e-13 3.515307609059666700e-13 4.440785846687722582e-13 3.389786710164977707e-03 3.502322079405742819e-13 3.560843378208470352e-13 3.650649038578226424e-01 3.557249959514356599e-13
3.517318536497691106e+00 6.157172906778237476e+00 4.770540085916501916e+00 4.364145335278950988e+00 -3.527115443872590461e+00 2.818802647608171785e+00 2.919926588370924669e+00 5.501625392235172107e-01 1.831165661889735619e+00 1.042036279532516119e+01 1.060911946166308262e+01 4.495370227288002063e+00 8.360760858480166036e+00 -1.109484627559118142e+00 3.869660231511171222e+00 -4.511521199996736398e-01 6.051737823755650503e+00 -4.568750055785697484e+00 9.227624752884094894e-01 4.794743275570866325e-01 9.940324639823594488e-01 -4.748249646553052372e+00 4.764740063627419531e-01 -1.003052766150964281e+00 -3.397693831227128758e+00 -3.404361382749983012e+00 -2.476163756254532000e+00 -1.882790682375691249e-01 8.802148568447812349e-02 9.145759435126086635e-14 9.943050575177827327e-14 1.170544277477637592e-13 9.650919939803001488e-14 9.873578500327379712e-14 9.217740504548359778e-14 1.343618950129185641e-01 9.433873863125194130e-14
4.032291221904388934e+00 2.033944791998589352e+00 6.584210450701793782e+00 7.770644041645460298e+00 -9.388029629914283802e+00 2.366282801985035267e+00 4.778524120595581515e+00 1.576731713189497786e+00 1.161915215294665016e+00 9.530946104023110266e+00 1.362682048859477923e+01 7.744135145428610478e+00 6.620311462249468981e+00 3.921669349504918189e-01 9.193025754131202154e-01 -3.773095857394049624e+00 -8.064582443808777867e+00 -1.704567002745876581e+00 -1.617199664373579537e+00 -1.499933401878130956e+00 -8.386986614451589217e-01 -6.635715405192207150e+00 -1.507683952182530485e+00 2.863161264009433937e-01 -2.554458684557479486e+00 -5.563610190313067250e+00 3.724807762318469440e-01 5.409064113993842238e-01 1.202141151838429067e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.082733282300016864e+00 6.700055658186665930e+00 1.086433942609212666e+00 5.185407257565338490e+00 -1.162467303417187736e+00 1.096845236142988567e+00 3.522875013562495994e+00 1.166157761177156791e-15 3.045806778043995688e+00 6.426750335129945313e+00 1.167244711685479608e+01 1.166149998944902991e-13 1.083957748837723045e+01 -1.533843301138393178e+00 8.116970434361855169e+00 -8.197599305715045359e-01 1.199832290908162591e+01 -5.099552959827958531e+00 1.474552237692816403e+00 -2.583719875140034095e+00 1.567093307523715451e+00 -1.714484019391269820e+00 8.206319516273227421e+00 -8.516297856323604698e-01 7.102235976451360067e+00 -3.863224309603757956e+00 -3.777777173054091886e+00 -2.373941972093004615e+00 6.766215922985669984e-01 1.156256819714651471e-12 1.153811365463298094e-12 1.067671084603743463e-12 1.175289498705703718e-12 1.146625274301474883e-12 1.150846379195787240e-12 1.239347171147122509e-12 1.141150123454206948e-12
2.237713016366424057e+00 5.526885560824235988e+00 5.816830479317998126e+00 6.751603252553008971e+00 -4.778766015372609033e+00 1.467659198625732575e+00 4.785943589964540834e+00 5.009467125172915036e-01 4.850141642939766129e+00 7.464617925612794025e+00 1.363754832326094046e+01 4.280839628803493113e+00 1.373002861455877621e+01 -1.245791472669778743e+00 2.328103891814457871e+00 -8.920383285805609797e-01 3.614118895790912500e+00 -3.809627071708977297e+00 6.265726843925016887e-01 -1.897866171422909920e+00 6.162970964703152754e-01 9.645141037340224099e-02 -4.230249984043982892e+00 5.677074082313670056e-01 8.156745308733247546e-01 -9.404909816229000796e+00 -1.217599808247143223e+01 4.712041945699904089e-01 1.409793697470904106e-01 2.520530122593740924e-13 2.619700589743013495e-13 3.363236338732589203e-13 2.744747788427370772e-13 2.833972996070288674e-13 2.615989445959658643e-13 2.113162075878527446e-13 2.601917704729561631e-13
7.379596668481658739e+00 2.253904627281869910e+00 8.018338373686599851e+00 6.243159389891005162e+00 -1.300241386769632079e+01 9.049640288262356336e+00 4.006644210556757901e-01 1.166620045490183610e+00 1.994431837185884626e-01 1.882697063461484532e+01 3.808313466063632191e+00 6.634091862888907620e+00 2.631561403553620337e+00 9.718280894823413396e-01 1.694480443827584282e-01 -9.130895528759387147e+00 -1.475919333696004543e+01 -3.641696171794188253e+00 -1.346081590499989211e+00 -2.246510749371131155e+00 -1.215331361332993021e+00 -2.433661365284445557e-02 -1.947737625014272389e+00 1.518112716182663524e+00 -4.498435285892747437e+00 -1.367259698839686122e+00 2.904633019510849956e-01 -2.517937211305382728e-01 7.793856669067050769e-01 1.004410478468455984e-12 1.027856657071073201e-12 1.264771653294166631e-12 1.075364921892738024e-12 1.067012049420199590e-12 1.039565416088654788e-12 8.074095862384278455e-13 9.959898845338793771e-13
1.939390584145533447e+00 1.512066116201447485e+00 4.767155119197958868e+00 9.083766285088218595e+00 -7.023315249284278750e+00 5.456598421612262939e+00 3.084217655450145479e+00 6.800409129247774187e-01 2.793657364968237022e+00 1.457511208448886819e+01 1.090894712463922467e+01 5.019359517489498046e+00 1.037290379218166869e+01 -1.069779971833981547e+00 -2.345442080835530074e+00 -8.029686592218232208e-03 -3.878781168291066894e+00 -1.829646412493004082e+00 -9.947917846913321149e-01 -1.013813681572694581e+00 -9.352314143873398100e-01 -1.768489091866120688e+00 -3.153649282308926161e+00 -6.494351196945168381e-01 1.026668973660533446e+01 -7.372191844421008611e+00 -1.575290065419061847e+01 -2.650080716984906548e+00 1.633467404824813451e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.413556801280614183e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.663479143666243054e+00 4.760451698222209593e+00 7.881378241924767991e+00 3.643089003364675893e+00 -1.058167764835422631e+01 1.127778314392064551e+00 8.022408871942975139e+00 9.534808890893655686e-01 2.439846977133164063e-01 6.519460174439475786e+00 1.771469661713078381e+01 5.978936036659235675e+00 2.930398885958018784e+00 7.850074140545909573e-01 3.544998635265146802e+00 -4.457971305745653812e-01 -7.309873973261099556e-01 -1.266061273138893384e+00 -1.161262426032190209e+00 -4.768479794054113485e-01 4.814373218746974548e-01 -1.576275648384953598e+01 -8.970303156905417907e+00 -9.218913822536176639e+00 -8.978800864493965861e+00 -3.299500465361727919e+00 -5.298934979733749273e+00 -4.109109539009012657e-01 5.473743473785496194e-01 1.072569062645495341e-12 1.147357217542229347e-12 1.418152596223409834e-12 1.154395996112375644e-12 1.171470337185329114e-12 1.098362912496382137e-12 9.189815984171273433e-01 1.098071232465830382e-12
2.694754823446287695e+00 4.102716372565468061e-01 7.412388191127629256e+00 3.383553814476111921e+00 -1.685435736054386524e+01 1.435833680868277458e-02 2.754855456752893339e+00 7.363524839444058889e-01 0.000000000000000000e+00 5.837942836568479343e-01 1.029924846374186131e+01 5.230850671901505322e+00 0.000000000000000000e+00 1.061320826263867145e+00 -2.971837493449814294e-01 -2.290398016680540660e+00 -5.389509646892575390e+00 -7.985010087515337363e-01 -7.227322359653015615e-01 -8.205432745117425819e-01 4.216287044517419424e-01 -7.297991944720387814e+00 -1.606146368676788727e+00 -7.319100623562982300e+00 -9.304357609633241211e+00 -4.761860079418303582e-01 -3.907319930122804763e+00 -5.308334821793181391e-01 7.113384967835950645e-01 0.000000000000000000e+00 7.720287138666739879e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.601342305925308240e-01 0.000000000000000000e+00
5.328696690466093955e+00 4.617250823672046423e+00 8.548947693944413118e+00 4.065083430251240082e-01 -1.808647971949304889e+01 7.592627936015013124e-02 1.181327645533964965e+00 7.198430729539947448e-01 1.116081868154649619e-03 1.554152551672485671e+00 6.676998314777543797e+00 5.169704179576419811e+00 9.094261321920733832e-02 1.209095055140010366e+00 7.582301474662862084e+00 -1.569440523693762524e+00 -3.635068616462831526e-01 -4.486400421497179991e+00 8.654318506328924354e-02 -4.105119345690850241e-01 8.183271519034897024e-01 -1.470186438761958492e+01 -3.423520414217445129e+00 -1.247926584920652715e+01 -1.198042776697228540e+01 4.995911912287413492e-01 3.032314203460300117e+00 3.612292594530706502e+00 4.841131681003005838e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.256538386351943482e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.238174930621872560e+00 0.000000000000000000e+00
9.873376414626235942e+00 8.709114403520281655e+00 7.554053459611136390e+00 2.533535291157885005e+00 -1.112753372420924514e+01 9.999999999999392486e+00 6.038724462750730382e+00 1.343921078293298876e+00 3.088220768552282225e-01 1.980099997500064291e+01 1.534313284091193985e+01 7.134633129436656063e+00 3.320356963218002111e+00 5.424714574810845374e-02 -8.863389104470206448e+00 -2.927052641666590738e+00 -7.459589871612198664e+00 -9.178908414045687802e-01 -6.360306153964875864e-02 2.166018103366086356e-01 -2.128675382149373796e+00 -1.203109712105433715e+01 -1.300851880669211802e+01 -7.868093547536985533e+00 -1.196135908501747558e+01 -2.150779803197060414e+00 -1.807034293937154201e+00 -1.880872824788780706e-01 7.987047795259681893e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.520457280137693934e-02 2.105052062324174952e-02 0.000000000000000000e+00 8.040455754291808699e-01 0.000000000000000000e+00
1.877214768937600642e+00 9.779364100960821204e+00 7.718448371155090193e+00 3.582786465634047346e+00 -1.399289828773992994e+01 2.120827074992966299e+00 1.000000000000000178e+01 4.157058288594633333e-01 9.855835765180434027e-01 9.012658845450831180e+00 1.980099997500125042e+01 3.882674756354034251e+00 6.081985598617257516e+00 -2.565305779499706507e+00 7.893594160449310948e+00 -1.995307547374117307e+00 1.173295235585350049e+01 -7.710395168145846689e+00 2.422717730795830582e-01 -9.827925272568540649e+00 -3.265898386264016739e+00 -1.067196835409694700e+01 -5.328248940406785650e+00 -8.137591600831449057e+00 -1.085394442778473412e+01 -2.937701445583079440e+00 -2.224041880621652201e+00 -3.652457844405110343e-01 1.369010392071662585e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.540680497705598506e-01 8.456976336303692054e-01 0.000000000000000000e+00
5.602137124908780130e+00 7.338247531426941528e+00 4.418539005549521753e-02 5.777977662689077754e+00 -1.761605547853648090e+00 0.000000000000000000e+00 3.969550211314734067e+00 0.000000000000000000e+00 4.211739380620341144e+00 0.000000000000000000e+00 1.240246041265710097e+01 0.000000000000000000e+00 1.278112468228670728e+01 7.626664703917858112e-01 4.016424061130266843e+00 -1.178548060600836056e+00 2.130160410964064610e+00 -1.201834687741970953e+01 7.349234073878891937e-01 -2.066722487825746857e+00 6.928495996523558187e-01 -8.837078011065954697e-02 5.224004978789633213e+00 -8.837078010855504984e-02 1.048630353388377223e+01 -6.095106242562732257e-01 -9.148188995927542422e+00 -4.824365634202891329e+00 7.810093829921320729e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.149767290460458335e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.640446290498005943e+00 4.780489013765616413e-01 1.613826541272650461e+00 9.887440858998742144e+00 -8.699082563182795269e+00 4.847488507012783110e+00 2.924967823860143312e+00 1.911182415512001794e-14 9.999999999998271605e+00 1.372621773070793338e+01 1.061844318534729226e+01 1.911182415512001415e-12 1.980099997499952025e+01 8.765432035511577791e-01 -1.091122395587268556e+01 -6.938575337427862699e+00 -1.128089258094985503e+01 -6.628426123090949140e-01 6.418628498572036267e-02 1.549022166801303502e-01 -9.560978027531232826e-01 -3.212599392076209703e+00 1.414551495001517623e+01 -1.687464088663591655e+00 1.657334689235928948e+01 -1.245469016887466296e+01 -7.410788244911469036e+00 -1.013876215937866299e+01 2.611825700376657969e-02 1.208153856905452850e-12 2.057423592925045619e-01 1.129230009383533866e-12 1.221330103029409108e-12 1.120308417652734210e-12 1.212525094625964558e-12 1.202903384702349547e-12 1.201537068374844419e-01
5.946903386107853073e+00 1.476557798117563491e+00 3.902152493731735117e+00 8.548127502372393494e+00 -6.734759941182682397e+00 9.659451855630749040e-02 7.306274145906226813e+00 5.257899941043304715e-01 1.066091818844330241e+00 1.775798760568398471e+00 1.689651911461127298e+01 4.390386139206536420e+00 6.333277188947148417e+00 2.365985775736614283e+00 -7.531375457772008453e+00 -7.811373407935108482e+00 -1.189380677221570615e+01 -2.037621883816753243e+00 -2.791029720928194013e+00 -2.114000309258854404e+00 -1.617336173632209828e+00 -3.435296747992031552e+00 8.072923645130268611e+00 -8.596023524967683072e-01 1.199669498753631558e+01 -2.515944623901556376e+00 -1.681230345973978757e+01 -3.395664930291785399e+00 2.021837536624875753e+00 4.812592300638125726e-13 4.534711359798358397e-13 4.980161248668846241e-13 4.707733768788413542e-13 4.245435445126043351e-13 4.639352769839816314e-13 4.092684307774319130e-13 4.532364067388883200e-13
1.100630491091294072e+00 8.014711690197604099e+00 7.811347906290387222e+00 7.897177326978257916e+00 -1.049647075736409896e+01 1.061052440009648129e-01 9.911490059383895712e+00 6.059834502439495063e-01 6.032232173014797638e+00 1.869833289637490070e+00 1.971229776734364947e+01 4.727406824056441081e+00 1.533477797907117512e+01 -1.883752811691133289e+00 2.947230770455579574e+00 -2.201260982182588144e+00 1.379167544434270987e+01 -1.495841690841067617e+01 1.511369845647353438e+00 -8.374124556932056151e+00 1.707180356390304521e+00 -3.948858851912071533e+00 2.322019847626520139e+00 -1.904199986480520079e-01 -1.256699359773803426e+00 -9.941135708563287210e+00 -6.700070278853169636e-01 6.521723977030751129e-01 1.647597685594021644e-01 1.383922832695659924e-12 1.384077195027055482e-12 1.644602153600939460e-12 1.339727591018191610e-12 1.370771348535061718e-12 1.303965589768369986e-12 1.107417711329490018e-01 1.355963789601705161e-12
4.026671844216388685e+00 7.164210757843711086e+00 1.169704847708953332e-01 2.540389167038397567e+00 -8.740928817187931799e-01 6.948669540572781892e-15 7.854553651433771044e+00 2.929802790155494631e-15 2.471338431701834426e-01 6.948669540572780946e-13 1.752631225205487908e+01 2.929847697382749011e-13 2.950454619120262301e+00 2.327737826223474915e-02 -6.238115879385098816e-01 2.327737826207468275e-02 4.150436959263672065e+00 -7.021661932483223012e+00 5.162173941890503270e-01 1.556942446158393056e-01 1.020316311444871671e+00 -2.339409695417906665e-01 1.698598310721904170e+01 -2.339409695417906665e-01 2.832576271275858204e+00 -1.839183779272743013e+00 -4.139636906345841361e+00 -1.213437871647425614e-01 6.399390107152577167e-01 3.458417322308330043e-13 3.585997668804496111e-13 3.104281376838563880e-02 3.403791734146038861e-13 3.781776560721126183e-13 3.567502344181748532e-13 4.310670104047890627e-13 3.736682729731100050e-13
1.867763571955316282e+00 1.609469325742077350e+00 4.902018560222440868e+00 1.528233180543824732e+00 -1.235332854177433326e+01 1.836087061989830183e+00 7.502494905722624452e+00 7.086649508406034359e-01 1.465517717016172255e-14 8.372250725284978046e+00 1.712454317530830394e+01 5.127910675598422507e+00 1.465519543770963393e-12 -4.434431073140704394e-01 -2.878927899681623437e+00 -8.296087956918211936e-02 1.512827646982279062e-01 -1.860559595042457826e+00 -1.616815571038227040e+00 -9.508420328916150632e-01 2.859114484428457725e-01 -6.956034698259010440e+00 -6.099512116123432470e+00 -3.180603714496197387e+00 -5.824895240887561165e+00 -1.649956710930500225e+00 -2.434030669491661580e+00 -1.168369502462776044e+00 6.838397886583659491e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.696307570220545013e-01 0.000000000000000000e+00
2.272554206912348551e+00 4.065151465285867793e+00 3.703600735827293100e+00 1.810808360985742604e+00 -6.692574067100933277e+00 2.079654110312627313e-03 7.303647886170424819e+00 3.146141855385861663e-01 0.000000000000000000e+00 1.509788660482352940e-01 1.689344656438561287e+01 3.353116107748812968e+00 0.000000000000000000e+00 -9.707066462127541401e-03 1.525589156117620071e+01 -3.655000933206668523e-01 5.508877630953489479e+00 -8.130302930571607689e+00 -4.757389430964508725e-01 2.443692739223468358e-01 1.401310675168983888e+00 -7.407201471654556890e+00 -7.407201471654521363e+00 -1.838085850549712408e+00 -2.791153980885682007e+00 -3.621616721971417263e+00 -3.621616721971454567e+00 1.902787684521587142e-01 1.347220169701555337e+00 7.248184565139774994e-13 7.836614547863658513e-13 7.522474938966017266e-13 9.087073116914946846e-02 7.290652394106279986e-13 6.773280090824947836e-13 2.147242048619195098e-01 6.356613936866410512e-13
3.957891769394307424e+00 5.125271296490315542e+00 6.059232950912898374e+00 3.862746485802519558e+00 -6.516718476191700304e+00 2.915361695322006216e-02 9.870729770090115596e-02 7.337247122434625846e-01 6.074282040718081976e-01 8.982461841298228222e-01 1.797070832002724217e+00 5.221161899509705329e+00 4.733270748862409505e+00 4.554542818787361003e-01 2.661817536565247000e+00 -2.486968649669303935e-02 3.619777210496187170e+00 -6.641410649951274836e-01 1.263546730968470033e+00 2.215625852373331872e-01 9.373022957646285347e-01 -8.793463637186084370e+00 9.092794786183856504e-01 -5.268596677256309313e+00 -5.725917004801871713e+00 -2.518995843281912617e-01 -5.056960425583305607e+00 -3.008503778761528746e-01 4.148893326497770651e-01 5.500084039266836013e-13 5.869735123154226840e-13 7.635603033098042891e-13 6.242293465984205536e-13 6.429284345070617000e-13 6.120658463989728670e-13 5.320200144104715312e-01 5.843250687996570658e-13
5.330648462887509709e+00 1.966370966599643166e+00 4.249489903871942253e+00 8.479292712525143827e+00 -6.185822590914856534e+00 1.278718972211136951e+00 9.245998172651015423e-01 7.372277433406577707e-01 2.391447230128696422e+00 6.954631988348030980e+00 5.884734397704147746e+00 5.234072707272880542e+00 9.582532780650169002e+00 1.346373186459742133e+00 7.486669289781912262e+00 -6.067085435091110313e+00 -1.066129692577501942e+01 -1.936132060601493121e+00 -1.151409578358049135e+00 -1.739893087247587733e+00 -1.562276065353543020e+00 -6.860345130932079982e+00 -3.594918507954726561e+00 -7.651799600324159512e-01 7.536077053039148543e-01 -8.331446831551039267e+00 -1.086370991398305108e+01 -2.728463623159681273e+00 1.571526348696622666e+00 1.331676562336297272e-12 1.376706608613539714e-12 1.650604891482998493e-12 1.488027799936841866e-12 1.410472670251641260e-12 1.366898164930221007e-12 1.581723901161735668e-12 1.257442392398055997e-12
9.128475805606138138e+00 3.772248655054769029e-01 6.966728810556178431e+00 1.741622396236963244e+00 -2.014990264401593834e+01 9.999999999998058442e+00 1.286783318089383954e+00 8.146354009469767288e-01 0.000000000000000000e+00 1.980099997499930708e+01 6.977139592036812665e+00 5.511866692051142991e+00 0.000000000000000000e+00 1.544048363788974809e+00 -9.647738441748584748e+00 -1.495417092697652528e+01 -1.638299166716399924e+01 -7.544497310109538057e-01 9.327096681287734281e-01 4.505795201998585298e-01 1.707947400577698671e+00 -1.330589613415585326e+01 -1.004013708936671101e+01 -6.709014515683305646e+00 -9.199201179852455112e+00 -3.287058195886885414e+00 -1.946077470208606552e+00 -1.153669305945530521e+00 1.036985744320946951e-01 3.605699569018166792e-13 3.220191943079380725e-01 3.314867911413665880e-13 3.239081555928921704e-13 2.144358918714137432e-02 3.673222822799460856e-13 7.262765800411993267e-01 3.357462057956432698e-13
