# w_1 w_2 w_3 w_4 DS VF CB_L CB_U R_DIFF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
5.954745112855895250e+00 7.505238912984524724e+00 1.360432841169274765e+00 2.262265774874101965e+00 3.000000000000000000e+00 1.774157247022577266e+00 1.177352410631018742e+01 1.177479038773497066e+01 2.680633566219997546e-06 4.349639354206520925e-01 4.066962838974556571e-01 1.416286656773314834e-02 5.045929913392002870e-03 1.123492046605875316e+00 1.102257479571041809e+00 2.188547398702912761e-01 1.234707867831149330e-01 -3.862277276200307835e-02 -7.328982705126731167e-02 -9.093712941262948116e-03 5.233899813050233232e-03 -6.210850515558377083e-01 9.763869750903945988e-02 5.114718011790107821e-03 3.248383530040386668e-03 -1.939306042033814292e-01 1.001525829607291751e+00 -1.813424018445065899e-02 1.920757161499508578e-02 -2.552839697386555251e-01 -2.305530814025688324e-01 -4.570929399178712965e-02 5.258617650106862940e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.980914611921146928e+00 7.521480830634726722e+00 1.456470699244250211e+00 2.525196657379445320e+00 3.000000000000000000e+00 1.752854383733097876e+00 1.156009490130425377e+01 1.194561386616194554e+01 2.524544421401307504e-06 4.217284308728502795e-01 4.033715984115914255e-01 1.022444989711226646e-02 1.753592341382624945e-02 1.102362865493351940e+00 1.098618908029368457e+00 1.747157039204995654e-01 2.456023726621516245e-01 -3.329848215233454506e-02 -7.672452460028854337e-02 -1.608149506511803370e-02 8.265354346689259696e-03 -6.230632584554608444e-01 1.001684908180884848e-01 -1.915759633827505276e-02 2.461586106325024115e-02 -1.971839892137117467e-01 9.568535635614525692e-01 -1.576271325881704530e-02 7.663771737893010361e-03 -2.588479821370975320e-01 -2.201461689843925706e-01 -3.581446554125351095e-02 4.784305336154334731e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.022241383654593605e+00 7.644560135950977831e+00 1.494789557933715374e+00 2.764411924187162306e+00 3.000000000000000000e+00 1.703582537938594044e+00 1.140980080683249298e+01 1.199736426904469866e+01 2.403112178014335863e-06 3.984331865721939536e-01 4.040064489988317575e-01 6.639969439755555661e-03 3.567285963117083208e-02 1.065857667984416723e+00 1.114750823320145523e+00 1.324724594664128952e-01 3.590635211010738681e-01 -2.398694463204281355e-02 -8.444535422874113739e-02 -2.277214756862815451e-02 3.507134518245175192e-02 -6.381025636237352971e-01 9.507810828131385561e-02 -5.222941950828809132e-02 7.400602545380341631e-03 -1.933900856716259664e-01 9.399539616691316990e-01 -1.603649905498758313e-02 2.278490803544025445e-02 -2.562873904173970652e-01 -1.898092950890771236e-01 -2.746954674790598114e-02 4.441765847196160050e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.197598109566852642e+00 7.681563148677879482e+00 1.608714098110916702e+00 2.986500216546970066e+00 3.000000000000000000e+00 1.631850736914181255e+00 1.128606692558302349e+01 1.197763454824534257e+01 2.326653862648703808e-06 3.466323438838944115e-01 4.112535215968530777e-01 5.714092627475474834e-03 5.540265428935841480e-02 9.818870982857175189e-01 1.130025262864873481e+00 1.026235831551593897e-01 4.528271228473095822e-01 4.043115573738233909e-03 -1.344897845848350149e-01 -4.011093420227329620e-02 7.407752698099097366e-02 -6.448541655683799334e-01 8.728883637730416867e-02 -7.361026789190912301e-02 1.562677473082796711e-02 -1.895173586912955455e-01 9.156902902393764254e-01 -1.282817475793690369e-02 3.593108926546476761e-02 -2.594840682670425114e-01 -1.812695141236712881e-01 -2.206083484720858939e-02 4.084932784844131498e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.567985744471807052e+00 7.759697022332019856e+00 1.788369544438240588e+00 3.190746855789176717e+00 3.000000000000000000e+00 1.544558259102670306e+00 1.128483459715349824e+01 1.180428192105184593e+01 2.259991193622959794e-06 3.548373101482056313e-01 4.255981915933375603e-01 8.179036087198643043e-03 7.453204499083247725e-02 1.008225142017750375e+00 1.157895197935191911e+00 1.198489799006541984e-01 5.267690414183769931e-01 -1.027999126416424998e-02 -1.888249594814403465e-01 -9.777360038098233119e-02 7.246722944353180262e-02 -6.740804504230581973e-01 7.744115230190615207e-02 -1.019356034470090683e-01 1.761129567062642842e-02 -1.887410905151399310e-01 8.503713720200271053e-01 -1.055555828928939240e-02 4.105220547380616231e-02 -2.624273744719108903e-01 -1.929056049485374791e-01 -1.654735064071678752e-02 3.737144868048038193e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.930321891689466440e+00 7.847753500685151984e+00 1.993630571807271545e+00 3.377604099191578779e+00 3.000000000000000000e+00 1.450414720696889148e+00 1.116922992537611314e+01 1.173159951601766871e+01 2.279742352554725119e-06 3.102288455277739665e-01 4.373110334746775907e-01 1.557222646578196312e-02 9.000329121183540948e-02 9.709493992737000534e-01 1.178956273313202852e+00 2.210141072799509665e-01 5.808976158910920118e-01 1.958688642579534470e-02 -2.900717371549551005e-01 -1.784247693516010091e-01 1.099037032336353942e-01 -7.010792583827925029e-01 6.345182711401262110e-02 -1.414867612809689035e-01 3.951688887842028097e-02 -1.982523250677340476e-01 8.296676894725030227e-01 -1.728557966499833648e-02 4.059889155279831213e-02 -2.700878674001497837e-01 -2.164615882617119957e-01 -1.180729585539241552e-02 3.522426352017450635e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.479840407857643925e+00 8.045337945077253750e+00 2.196625029571263266e+00 3.553725416792451242e+00 3.000000000000000000e+00 1.349634262532903861e+00 1.101499942660903386e+01 1.168426909845677741e+01 2.291681623596209076e-06 3.938818496715300044e-01 4.333222661643520435e-01 2.419233994985052483e-02 1.039351758857003233e-01 1.085401644128413556e+00 1.178515745753945909e+00 2.937339079209645987e-01 6.256014028473404487e-01 2.453313599474146733e-02 -6.116822036879041580e-01 -3.468154276182423001e-01 8.672897970195478368e-02 -7.495249459831030414e-01 6.829413216485051563e-02 -2.167458649119631264e-01 3.059668522329985624e-02 -2.002946291793200051e-01 7.954028986236836296e-01 -2.124627815984441240e-02 2.604441800948400013e-02 -2.834624970762473772e-01 -2.435205084265628928e-01 -1.829477532396164147e-02 3.344892600417509465e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.913485306367417316e+00 8.198321371193753038e+00 2.326847119618683291e+00 3.720970046813326437e+00 3.000000000000000000e+00 1.245441911983947492e+00 1.085524794185522346e+01 1.163563588211267508e+01 2.258838465423457141e-06 3.596592284710190546e-01 4.087337393217455594e-01 2.345389146476466527e-02 1.198021938065893244e-01 1.021903768568488191e+00 1.139683609323471014e+00 2.922345635859904256e-01 6.737587346488931317e-01 3.019112877139377288e-02 -6.566507112707106186e-01 -4.360677567466120230e-01 4.782522220469209717e-02 -7.794440149993591138e-01 8.515028344562093621e-02 -2.797549463547807092e-01 1.728422239007868996e-02 -2.022178577419363743e-01 7.367234476930684117e-01 -1.831211338726056528e-02 2.187708603352016626e-02 -2.882616483153364606e-01 -2.737195208962898141e-01 -1.879122245876101507e-02 3.234722208669373045e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.152611417390877691e+00 8.284742483144146519e+00 2.436232549786284007e+00 3.882706157246794909e+00 3.000000000000000000e+00 1.137594308435227575e+00 1.075721561728967224e+01 1.151797299958078646e+01 2.198572885933883268e-06 3.438657232961316312e-01 4.147735525308337556e-01 2.076403009245957054e-02 1.369487664169554697e-01 9.941710906146651316e-01 1.151231736284960006e+00 2.656953494530949200e-01 7.212871701239556010e-01 4.605416522220417974e-02 -7.015782065242366361e-01 -4.687930348401802005e-01 4.622678443067958221e-02 -7.991730094792488526e-01 7.977835277161607341e-02 -3.116595967100448950e-01 1.074840347466116813e-02 -2.081174529529019601e-01 6.553823400854916770e-01 -1.434195964670765232e-02 2.602905475608588426e-02 -2.975872749455933941e-01 -2.915803318166911295e-01 -9.665654081468386810e-03 3.157033905837856869e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.383745339544276476e+00 8.338484500517452602e+00 2.566377823566713623e+00 4.040557852538688266e+00 3.000000000000000000e+00 1.024994809706976540e+00 1.064771235835103091e+01 1.140227726106292572e+01 2.166397137899601732e-06 3.050979369144831144e-01 4.237644269662043661e-01 3.275099520498046118e-02 1.546231844856884585e-01 9.236577702469223050e-01 1.167496800505053445e+00 2.942186986437541618e-01 7.673694650101331449e-01 7.990953318277552175e-02 -7.464850845079582520e-01 -4.804938051731666993e-01 3.424342522773526909e-02 -8.128373980059864223e-01 7.409502856186850339e-02 -3.235664622524872525e-01 2.769161386945211134e-03 -2.177416329638247050e-01 5.848758302336217740e-01 -1.401145199231696239e-02 3.621329114875128374e-02 -3.112911852605895757e-01 -2.974686630735212112e-01 -7.652928762310803705e-03 3.072623009636091945e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
