# w_1 w_2 w_3 w_4 VF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
9.604009732260722743e+00 7.007770558642794967e+00 4.548120822691328335e+00 9.115862435140696718e+00 -3.067319158978825122e+00 1.000000000000000178e+01 4.403793586312348296e+00 3.367699518385591340e+00 8.692271724271595446e+00 1.980099997500125042e+01 1.307373084879176339e+01 1.140809979003560670e+01 1.844754324223071151e+01 5.929805104782867042e-01 -7.837733283380211802e+00 -1.718652701478244182e+01 -1.362471643705362823e+01 -1.619368965188467735e+00 -6.096085945837296238e-01 -1.185407463962847707e+01 -1.267947607001017385e+00 -2.407482022165445823e+00 4.940637656712326020e+00 -1.474937557170459712e+00 7.264996568780913044e+00 -5.001331627337723518e+00 -2.459265131576911845e+00 -4.002685780448234532e+00 7.880631342192299105e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.984825147204208912e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.386061293213034951e+00 7.832759696642243696e+00 1.768290435342569467e+00 3.476141030923462605e+00 -7.588190145435514289e+00 7.722587160422477170e-01 2.492489361939050685e+00 2.616004593836849690e+00 6.482870438412749792e+00 5.361505968872987360e+00 9.786971029843339664e+00 1.003133342989977272e+01 1.590449681103107515e+01 4.215411787743785221e-01 -3.522373547200103316e-01 -3.703551635235706296e+00 1.747839236318249556e+00 1.227258565550989056e-01 1.055032707999543629e+00 4.977178626354729074e-01 -1.463614350544055043e+01 -6.581962808416116362e-01 1.412596084372172989e+00 -1.177065998734257546e+00 -7.210848368545331732e-01 -1.730707765795085340e-01 -1.134755722923395070e-02 -8.848464623945606622e-01 -6.910726440283998517e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.755565769288494060e+00 2.853679446491186766e+00 4.483628032686894471e+00 1.750403706969988038e+00 -3.601375917623576228e+00 7.659317408388801596e-01 0.000000000000000000e+00 4.022421540495893844e+00 6.166191624427988849e+00 5.338716269080087784e+00 0.000000000000000000e+00 1.248608929604927908e+01 1.550629380148604319e+01 1.491903452943705632e+00 -6.262639927609028767e+00 3.976969004882408704e-02 -5.076304894227554598e+00 -1.419863769929302633e+00 -1.719285460010824829e-01 -2.045185448005568674e+00 -3.066632406255344723e+00 -1.972411237738387779e+00 -5.869297482611858463e+00 3.378783501161989333e-01 8.807362817414267298e+00 -1.344863169174275175e+00 -9.692794524412819135e-02 -2.376816013585452581e+00 -1.819849478744216542e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.517318536497691106e+00 6.157172906778237476e+00 4.770540085916501916e+00 4.364145335278950988e+00 -3.760738251470503002e+00 3.409909793202033912e-01 1.740647083171811049e+00 5.623307959117644472e+00 1.083639857965516262e-01 3.498599624860466051e+00 8.146617880047877236e+00 1.479907725090802018e+01 1.891544749500329692e+00 -3.403998308395972949e-01 5.131660086452808578e+00 -1.691854821050051916e+00 -1.648583515990368564e+00 -1.988372657086070749e-01 1.196373762138039920e+00 -6.370116884723910911e-01 1.142541023212377382e+00 7.797586609451462314e-01 -1.357186050339939110e+00 -4.758499641713185846e-01 2.531782737031282426e+00 -2.648895952977216584e-01 -7.617645615914219077e-03 -1.349189601438596453e+00 6.873904800042179852e-01 7.958299830461803333e-13 9.005480822860123524e-13 7.524111237213523123e-13 7.404670765567356386e-13 6.726227702831338254e-13 5.987014269764889818e-13 7.247749865275498332e-13 7.340448676684558499e-13
4.032291221904388934e+00 2.033944791998589352e+00 6.584210450701793782e+00 7.770644041645460298e+00 1.020172829733112962e+00 1.585180241118104849e+00 1.995677061400401119e-15 7.682863785593078809e+00 3.096590072218115441e+00 7.765378741099282500e+00 1.995710760272439588e-13 1.733153020770930297e+01 1.093119952609966994e+01 5.883410863875073726e-01 -6.180905895426919372e+00 -4.989656149950481567e-01 1.159054556245109957e+01 -1.501402739018682819e+00 -1.031084989741961611e-01 -2.365179829513865073e+00 -1.466284179290987977e+00 2.839557268931542366e-01 -2.481479688080946655e+00 -7.789499916186153339e-01 3.444645895665950253e+00 -1.247629991305319930e+00 -2.831042778090431700e+00 -1.237803124330547178e+01 7.231535891895018997e-01 1.311676570310560397e-12 1.240792899758039235e-12 1.263541847534476652e-12 1.268036368994637092e-12 1.189667721973597381e-12 1.229516281098057533e-12 1.232409797738404479e-12 1.224830693039556401e-12
2.082733282300016864e+00 6.700055658186665930e+00 1.086433942609212666e+00 5.185407257565338490e+00 -4.254011685885818572e+00 0.000000000000000000e+00 2.634644204948753288e+00 2.955041545936058611e+00 4.000002933816854123e-01 0.000000000000000000e+00 1.006770568950802591e+01 1.067389818971793680e+01 3.804998343978111652e+00 -5.881753468057701051e-01 7.074322344841935895e+00 -1.996032165152908933e+00 8.311163074181010302e+00 -3.334343513429820494e+00 -4.314044131265393212e-01 -2.191543470162215179e+00 -1.027637186158184157e+01 -8.516297856309985592e-01 8.158695454249302870e+00 -2.037618473377346362e+00 9.128444603612445363e+00 -9.015858124387710060e-02 7.623851255076454780e-01 -1.036437845958935355e+01 1.458241497231361761e+00 1.094363483636850240e-12 1.270511555120576452e-12 1.070867543708083850e-12 1.082560674961171150e-12 1.071144308504212249e-12 1.667409003098971054e-01 1.088098712931221453e-12 1.084729940510347667e-12
2.237713016366424057e+00 5.526885560824235988e+00 5.816830479317998126e+00 6.751603252553008971e+00 -8.522822485735321862e-01 7.799102113125017111e-02 3.065082280737820408e+00 3.639090841502802931e+00 1.652203534127245077e-01 1.577544509935534522e+00 1.087444316030331315e+01 1.186663307058679528e+01 2.378529452325296667e+00 -5.916722042601337828e-01 5.512392237603597422e+00 -1.929110439627814033e+00 1.375429977269928727e+01 -4.015449749829604897e+00 9.335843691672379707e-01 3.695986370130923682e-01 1.874860669999873775e+00 3.919805530073108280e-01 3.759158063462826327e-01 -2.751585297464572144e-01 -3.922037498415908541e+00 2.922468860711974550e-02 4.582666424429113206e-01 -1.281376979149836437e+01 1.402257054439234762e+00 1.439810076719894028e-12 1.478471760573167246e-12 1.379645946186901109e-12 1.386830947389058319e-12 1.370228366534553821e-12 1.333174920421309820e-12 1.412953693175741032e-12 1.422956099170638746e-12
7.379596668481658739e+00 2.253904627281869910e+00 8.018338373686599851e+00 6.243159389891005162e+00 2.086009985767258712e-01 9.260583931594695839e-01 0.000000000000000000e+00 4.027245979470968962e+00 7.596420818894937810e+00 5.889526926388329642e+00 0.000000000000000000e+00 1.249369289014422080e+01 1.723263699949551864e+01 2.409321834843849430e+00 -1.299288468554578024e+01 -6.167045094758666579e+00 2.849550590050349719e+00 -2.201626385245536000e+00 -9.229356498264152942e-01 -3.597211920027540089e+00 -3.202357748143466409e+00 -1.155473431785056571e+00 -5.642325812916411110e+00 8.670459353710094907e-01 -1.037633652605235923e+01 -2.069093570062722487e-01 -9.880263024868761804e-03 -1.087908041620940125e+00 -8.429560659762918018e-01 2.199498016445394777e-12 2.111767535657244543e-12 2.108886544093088646e-12 2.105149771213640970e-12 2.020165420580158355e-12 2.115025595796331953e-12 2.102888220137768063e-12 2.106324926089936747e-12
1.939390584145533447e+00 1.512066116201447485e+00 4.767155119197958868e+00 9.083766285088218595e+00 1.284023782803316749e+00 3.275312104447730688e-01 0.000000000000000000e+00 8.744334435145176831e-01 9.942214438732813520e+00 3.425090945570298917e+00 0.000000000000000000e+00 5.717544909655342344e+00 1.974313359402961510e+01 1.691112658427620652e-01 -2.250011529375968156e+00 -3.694787947886791768e-01 1.592221880671014667e+01 -9.423296265432898888e-01 2.173134513924665501e-01 -3.024132232402839460e+00 -3.024132232402783504e+00 -4.722941672569587190e-01 5.801507378398850223e-01 -7.270112743773934350e-01 -9.534310238395883985e+00 -5.170654615697373835e+00 -5.880669878342489554e+00 -1.816753257017643719e+01 5.923307601745932960e-01 1.330439122586291045e-12 1.276930541895524886e-12 1.314261648797010636e-12 1.315493493232655758e-12 1.307147261524893578e-12 1.377085085960599647e-12 1.318698122771658383e-12 1.314946708524053278e-12
5.663479143666243054e+00 4.760451698222209593e+00 7.881378241924767991e+00 3.643089003364675893e+00 -2.680752607259173637e+00 8.575218772149589830e-01 1.659366378453946847e-04 6.739204475221688417e-01 4.918971535216667412e+00 5.660110861315629904e+00 1.595711905734556110e-02 4.995846216061818446e+00 1.382850175209978438e+01 8.804906710698217065e-01 2.142203097210476637e-02 9.404730877961855473e-01 -5.727535182775812750e+00 -4.585796218823178227e-01 8.052641848660101465e-01 -6.500927140170746910e-01 -7.100544039308910094e+00 -6.338707020551336058e+00 -8.993988370581808667e+00 2.326533826703625962e+00 -6.596567123962268298e+00 -1.209515128304862630e+00 5.432867844075893460e-02 -4.616571864196547637e+00 -1.480398503007408717e+00 5.083806097448684280e-13 5.625445381328593453e-13 4.935974299020415073e-13 4.856319603705282673e-13 4.783078230360948702e-13 4.071490628638433501e-13 4.873236102805714762e-13 4.861071671918890112e-13
