# w_1 w_2 w_3 w_4 VF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
2.694754823446287695e+00 4.102716372565468061e-01 7.412388191127629256e+00 3.383553814476111921e+00 -8.553178980706441337e+00 3.921471242382482680e-01 3.464678687195645280e-14 6.226681014059794184e-02 3.091222778424041362e+00 3.765592597284194376e+00 3.464678687195644977e-12 1.390808726964652964e+00 1.092155165208979817e+01 -1.188586639087190422e+00 -2.315277867459776484e+00 -2.340947105242776605e+00 1.907423396873886734e+00 1.927224625750857845e+00 3.100290944275650329e+00 -7.289292730292550315e-01 -6.995448115475533246e-01 -7.038006022037633258e+00 -9.656618220190603452e+00 2.482248922301348859e+00 3.792211821929681648e+00 -3.744728348400327977e-01 7.985934836886937616e-01 -2.314324468031665916e+00 -4.149122554318335210e-01 7.916842637185894649e-13 2.771071439388491653e-01 7.427299753679067452e-13 6.357748821270776951e-02 1.294983597131531550e-01 7.064838292627898843e-13 7.280203751596254374e-13 7.298634073621391126e-13
5.328696690466093955e+00 4.617250823672046423e+00 8.548947693944413118e+00 4.065083430251240082e-01 -1.332155336114781008e+01 7.723409004399661715e-01 4.096829104037677571e-16 6.491282581998376600e+00 9.174433528004163563e+00 5.361802187491843341e+00 4.097828703884643140e-14 1.591494039515053949e+01 1.895769665516844782e+01 -1.522526792087262049e+00 6.346079325556192030e-01 -1.065739338093206712e+01 -1.065739338093210797e+01 -1.642430092290968757e-01 1.084937405090849571e+00 -9.234501647344041331e+00 -2.288811654788955874e+00 -8.203717950794873204e+00 -1.080145505428275854e+01 1.497791384414510762e+00 -1.709789538788869123e+01 4.638296974736863199e+00 5.887477389057053756e+00 1.582265350638120349e+00 3.781066649593466611e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.037239146001341927e-01 1.846839732362592634e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.873376414626235942e+00 8.709114403520281655e+00 7.554053459611136390e+00 2.533535291157885005e+00 -1.626690869160703201e+01 1.473957407298491118e+00 3.786988318170169343e+00 6.717451296406208527e+00 9.527374177036262992e+00 7.481036296856183654e+00 1.210933517657960223e+01 1.619323189176228794e+01 1.932267827633930324e+01 5.424714574878031909e-02 -1.076006344728806852e+01 -1.542869059584694469e+01 -1.681215418466843303e+01 4.144596839300245250e-01 4.478061069689744378e-01 -4.449683229157306741e+00 -1.279801302506251659e+01 -4.317541434584867055e+00 -1.057471503761794906e+01 1.218235403526971572e+00 -5.892726105017919380e+00 -1.708356830183602293e+00 -1.675010407084247754e+00 -2.657273049269673226e+00 -2.476492973725263891e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.305613088008392986e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.877214768937600642e+00 9.779364100960821204e+00 7.718448371155090193e+00 3.582786465634047346e+00 -4.443021943170004207e+00 2.628353239603285411e-14 9.999999999999674927e+00 3.335519181189956051e+00 4.429167791455712155e+00 2.628340939351101189e-12 1.980099997500092357e+01 1.135252211842805892e+01 1.311190112862278312e+01 -1.563899241118404948e+00 1.604657043686883355e+01 -3.210935404331538123e+00 -1.734405383249203680e+00 -1.119149414684105892e+01 2.422717730773597256e-01 -1.177928492395959204e+01 -9.589992393148161653e+00 -5.542261351974987704e+00 -1.543689674179768545e+01 1.556662577459685837e+00 -1.014054756090502707e+01 -1.028165101962635442e+00 -2.139165121397915037e+00 -4.918885268715938786e+00 -1.395931916242943105e+00 1.063652945530437303e-12 1.075304109486904573e-12 1.195537507832139176e-12 1.195107061358454065e-12 1.267722375144854484e-12 1.540680497724981335e-01 1.152837934910075877e-12 1.174514428053677929e-12
5.602137124908780130e+00 7.338247531426941528e+00 4.418539005549521753e-02 5.777977662689077754e+00 -9.164854675225871716e+00 0.000000000000000000e+00 2.575051975909410817e+00 0.000000000000000000e+00 3.710762048880282826e+00 0.000000000000000000e+00 9.950964467161421467e+00 0.000000000000000000e+00 1.198484640671410162e+01 7.626664703870921214e-01 4.285326233121672601e+00 -4.947414255138702366e+00 -7.102799907975068106e-01 6.739024489061429257e-01 1.007311845776232007e+00 -6.872542853408114993e+00 -5.911125224455906491e+00 -8.837078010654790539e-02 1.078691617505647748e+01 -8.837078011099043506e-02 9.569791431002597548e+00 -3.950223655309863080e+00 1.095471629118028867e+00 -3.723964550685629593e+00 8.694847469449690225e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.149767290457364560e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.640446290498005943e+00 4.780489013765616413e-01 1.613826541272650461e+00 9.887440858998742144e+00 -1.621647051518920080e+01 4.714184325193213065e-02 0.000000000000000000e+00 4.416173363736983326e+00 1.000000000000000178e+01 1.187686497742616920e+00 0.000000000000000000e+00 1.309236376832506465e+01 1.980099997500125042e+01 -6.066194189452657426e+00 -9.970359441277766521e+00 -1.127712303737336619e+01 -1.022132262710056416e+01 1.444772423457731936e-01 1.244013305582162943e+00 -9.541773365006293028e-01 -9.560978027503080900e-01 -1.819429255064755058e+00 6.463246013109039012e+00 -3.142171174030840675e+00 3.156336043043275197e+00 -6.252939472348209904e+00 -8.030093648878731116e+00 -1.104385662006027280e+00 2.611825699946724796e-02 0.000000000000000000e+00 1.307191915199429899e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.752085099281456282e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.201537068349507187e-01
5.946903386107853073e+00 1.476557798117563491e+00 3.902152493731735117e+00 8.548127502372393494e+00 -1.056550276957492862e+01 2.682976234862788356e-01 2.125392951854746609e-16 2.108556494936830283e+00 4.248127005337632767e+00 3.082064705613330791e+00 2.126076206418767837e-14 8.985981700639994685e+00 1.283706562912495386e+01 -6.852639016729393795e+00 -9.864297230025643515e+00 -7.513739670942189086e+00 7.326736306492948568e-03 2.050065376149169671e-01 1.352209146134646156e+00 -1.698768531824129235e+00 -1.541267346781251435e+00 -7.142333043272107718e-01 3.762654793533370512e+00 -1.370224081547214645e+00 4.042311919886785176e+00 -3.945549235525271481e+00 -2.356005290089318027e+00 -7.493205976683209535e+00 1.299194376604183354e+00 1.790976709385022625e-12 1.018723190151632624e-01 1.694268654714415571e-12 1.703990797239046760e-12 7.145595839971222718e-01 1.733981343824905503e-12 1.798864148899747845e-12 1.778786372144398713e-12
1.100630491091294072e+00 8.014711690197604099e+00 7.811347906290387222e+00 7.897177326978257916e+00 -3.665244548154280579e-01 0.000000000000000000e+00 5.871978585504022519e+00 1.381408977799774285e-01 1.265145084092549554e+00 0.000000000000000000e+00 1.512707517334921192e+01 2.159160004580296555e+00 6.916586496607906476e+00 -1.675993557282004609e+00 1.455793513165066955e+01 -2.182454731489339661e+00 1.429697043012805047e+01 -5.986598195978105608e+00 2.020839022754859382e+00 -3.697046778472235395e+00 -7.670768771940361219e+00 1.237836802801171587e-01 -7.336092594519457721e-01 1.473060577594521581e+00 -6.113596692693979762e+00 6.810757696708409359e-01 8.940072819447630881e-02 -3.436508151683986156e+00 1.001677247827586381e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.026671844216388685e+00 7.164210757843711086e+00 1.169704847708953332e-01 2.540389167038397567e+00 -6.214084374230450791e+00 5.184912580681731626e-16 1.344326568483736883e+00 6.501268593371190460e-16 9.980075004989510390e+00 5.185551230264675098e-14 7.135740178183426430e+00 6.501554954480815143e-14 1.978106604262261570e+01 2.327737825960801699e-02 2.645675732720731865e+00 -8.053343688430851799e+00 1.174765628656838246e+01 3.199167516164613256e-01 1.670725402393898884e+00 -1.432842151568731026e+01 -1.432842151568731737e+01 -2.339409695338489081e-01 3.137626408034239756e+00 -2.339409695417906665e-01 1.956705900545940224e+01 -1.213437871561027365e-01 1.749072819294867354e-01 -5.080778334076740066e+00 -1.230128925227358838e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.104281376682116109e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.867763571955316282e+00 1.609469325742077350e+00 4.902018560222440868e+00 1.528233180543824732e+00 -7.850751418472666998e+00 3.292630073075810682e-01 6.223062827908654716e-14 5.256300509146513145e-01 2.592146672361312840e-02 3.434634466267380226e+00 6.223077583591623704e-12 4.389684316178837697e+00 8.377180103850027093e-01 6.962264751074069558e-02 -6.939423778558201361e-01 -2.195333149432557196e+00 1.260020648988763270e+01 -5.540689201507612571e-01 6.059359140404648736e-01 -3.215205076298352171e+00 1.027354710579022777e-03 -2.310933923982543714e+00 -4.950864721530095380e+00 9.533827564536118127e-01 -8.460748633829308085e-01 3.510811379166500767e+00 4.670816213357832147e+00 1.300270242285824773e+00 4.577736434432004842e+00 1.853468387883611124e-12 2.560195724997469530e-02 1.731541152865181954e-12 4.109160756191710395e-01 1.651309568685005447e-12 1.780189138855544468e-12 1.770339463132847291e-12 1.848180402380879587e-12
