# w_1 w_2 w_3 w_4 DS VF CB_L CB_U R_DIFF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
2.334484753672346979e+00 3.795531740153566869e+00 6.189525583787649055e+00 7.018735767878923504e+00 0.000000000000000000e+00 1.042020390786703388e+00 1.044815807838496013e+01 1.163588270318845019e+01 2.475923284608398499e-05 1.526931800278142140e-02 1.536025506044793043e-01 3.618890581572791199e-01 4.131119242196929497e-01 2.325779617381268094e-01 7.628426934713230523e-01 1.254182340515945793e+00 1.138561778605012620e+00 -1.263323092208882073e-02 1.390916737076521303e-01 -2.679342541186354731e-01 5.641453075225811853e-01 4.202960740374976981e-03 4.067914611454637869e-02 -3.166635734173541272e-01 -2.738549967201874269e-01 -3.136841180099741565e-03 1.335706304560107527e-01 -1.695037329916749061e-02 -3.004327671926048104e-01 -6.337121372442457330e-03 8.878623406576791055e-02 -5.408546986604938489e-01 4.023093553714944537e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.271318599061902699e+00 3.816546543855441787e+00 6.173841377887149484e+00 6.987050161016711947e+00 0.000000000000000000e+00 1.061136847386341842e+00 1.048263948645024257e+01 1.163963420832244466e+01 2.190153152483688282e-05 1.278508284402390081e-02 1.568317447144450816e-01 3.613444933085255828e-01 4.112467969347730623e-01 2.124677737351200191e-01 7.713342696821149369e-01 1.221660001204701418e+00 1.136918104982213018e+00 -1.438933294926366367e-02 1.614361112167135293e-01 -2.630275393131383810e-01 5.615127796175488628e-01 -3.770800414847450596e-03 4.248056831572795400e-02 -3.174881194698833675e-01 -2.770325608050915878e-01 -2.859318212541746371e-03 1.306264881767621733e-01 -1.422642968872750782e-02 -2.908755179111054412e-01 -6.626020247684276561e-03 8.676267009316319945e-02 -5.331414348574892159e-01 3.666806550681050991e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.199371934315584642e+00 3.797692541781204412e+00 6.159544786824440621e+00 6.953920059778290863e+00 0.000000000000000000e+00 1.078728350659897472e+00 1.052399893817520393e+01 1.163345776314459457e+01 1.300207102733459456e-05 1.056211299350950233e-02 1.548257202558897816e-01 3.584056288166101445e-01 4.087568615499974078e-01 1.927966409820240923e-01 7.669215802534710136e-01 1.176016144568166277e+00 1.134195561877881397e+00 -1.533683385350561625e-02 1.738144583185271264e-01 -2.550657338350920122e-01 5.551093340879174054e-01 -1.232321431909660578e-02 4.405193743224369851e-02 -3.167475565420158068e-01 -2.741843887224161835e-01 -2.971231237268390658e-03 1.215312221581527491e-01 -1.050119545770282665e-02 -2.831068639347967264e-01 -5.275476540061396942e-03 8.681797048765910185e-02 -5.285077301269670569e-01 3.382256201090723391e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.122687765048056452e+00 3.736076470185721643e+00 6.144688630638097671e+00 6.927542677077983768e+00 0.000000000000000000e+00 1.095068225785004401e+00 1.057428444168769843e+01 1.161585200988231392e+01 2.126233712775010550e-06 8.880150310579768350e-03 1.468103805109235716e-01 3.524064792373373667e-01 4.049540404300492336e-01 1.752993280625898820e-01 7.463122063151308438e-01 1.119043339778208246e+00 1.129779354872618269e+00 -1.547420676452518698e-02 1.742556061364875786e-01 -2.439473628002954142e-01 5.508005084691027786e-01 -1.860374562503725945e-02 4.558884320183411581e-02 -3.156929980537344638e-01 -2.647403045965198709e-01 -2.910771313916944887e-03 1.086312529899388091e-01 -6.144712783267067616e-03 -2.775654801450138653e-01 -1.601537064211220208e-03 8.827036212669049642e-02 -5.259351096685600524e-01 3.278675759926352046e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.045316731225430562e+00 3.643057742060535009e+00 6.130134774068513259e+00 6.919534991756927766e+00 0.000000000000000000e+00 1.108957467525097940e+00 1.067209560154633863e+01 1.154581933350386080e+01 1.922247386903690538e-05 7.681437532114100339e-03 1.347921819113831465e-01 3.439266062457000395e-01 4.038397519259547264e-01 1.596069015336844255e-01 7.133832466306038178e-01 1.056946518974485549e+00 1.128376598861150715e+00 -1.557510543474096773e-02 1.651714350910877260e-01 -2.383247864128361093e-01 5.498611919800344694e-01 -1.922776390824985221e-02 4.710735944411668236e-02 -3.085749990405038945e-01 -2.510773191923548198e-01 -1.213740275534812025e-03 1.041598688578693199e-01 -1.664739092285583621e-03 -2.720991161929594560e-01 1.786987549900572207e-03 9.066374950367385444e-02 -5.244379644917139816e-01 3.449071677205558378e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.967441204051725734e+00 3.546918922519285644e+00 6.124066072690839135e+00 6.928469929506430702e+00 0.000000000000000000e+00 1.123444576140974149e+00 1.074920151610788466e+01 1.149768763617406719e+01 2.454518313449480200e-05 6.123314101472239826e-03 1.215246746143236328e-01 3.358736543774865635e-01 4.050972935062280844e-01 1.385073979893888252e-01 6.768847129981677702e-01 9.935785292467442797e-01 1.129952682684293608e+00 -1.518099717111722792e-02 1.558596915805820493e-01 -2.323557521612850396e-01 5.465834193510806793e-01 -2.027299496965069558e-02 4.816966307223406046e-02 -2.937410562508775969e-01 -2.373914484652075996e-01 8.959117737126260153e-03 1.136199100974500248e-01 2.538463309258213139e-03 -2.697390552114603546e-01 4.837750467244592879e-03 9.361755458681042530e-02 -5.260091962445296865e-01 3.730557612220258834e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.891536218196139707e+00 3.445553947671031736e+00 6.168861661376470629e+00 6.952658681842653010e+00 0.000000000000000000e+00 1.136979839409049120e+00 1.089390128304557592e+01 1.138005839577252587e+01 1.744034327946410851e-05 3.921067327069719700e-03 1.109402459182073503e-01 3.362050223804867732e-01 4.085739583895952598e-01 1.065275639882460185e-01 6.463128117610359435e-01 9.932831745678999402e-01 1.133989807485005441e+00 -1.255599609276688601e-02 1.451630018882743844e-01 -2.308404968588147477e-01 5.446345373264949163e-01 -1.917431060932175968e-02 4.807384135052181207e-02 -2.820772895190997165e-01 -2.233730731400756508e-01 1.414856217930798681e-02 1.191856776954454411e-01 1.016254039639576633e-03 -2.879145444695618283e-01 7.331992723443224447e-03 9.635956864889839990e-02 -5.283623530731303974e-01 3.687221147523481873e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.828756237732305445e+00 3.349682394624423409e+00 6.239604472273010849e+00 6.989318645459869472e+00 0.000000000000000000e+00 1.151367689555721441e+00 1.078275686132510813e+01 1.151997851778633830e+01 6.202188003557185354e-06 3.584976777513639978e-03 1.035310723973470737e-01 3.431960860642077615e-01 4.113091903748521405e-01 9.886025671682009686e-02 6.239835968935424360e-01 1.046746407436314197e+00 1.136968351675254896e+00 -1.184546280820152064e-02 1.294045812253961647e-01 -2.300275363201889078e-01 5.611852231688920778e-01 -2.247209657599364210e-02 4.761791641569418365e-02 -2.705466210433656871e-01 -2.179805761186266455e-01 -4.999547103954630513e-03 1.099109350009258440e-01 -5.132999739514383826e-03 -3.325479430240184664e-01 -2.039173256796279581e-03 9.667011314992168813e-02 -5.335877064645601076e-01 3.780906075555854479e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.769528923691297662e+00 3.237321911744454717e+00 6.214606736753237826e+00 6.979122779175887636e+00 0.000000000000000000e+00 1.157223303923828439e+00 1.089713122996238859e+01 1.141731537788527184e+01 1.401755260028010729e-06 2.241487504470818758e-03 9.514470575707389965e-02 3.334156432382766044e-01 4.109515558361980792e-01 5.901176676703862034e-02 5.969808125047594283e-01 1.028221970620296855e+00 1.136708887600376139e+00 -6.857537002711711419e-03 1.073656299056184732e-01 -2.298603603423843844e-01 5.977662125796450177e-01 -7.071035014889345653e-03 4.666809809325180025e-02 -2.577025989650068571e-01 -2.114968240717806924e-01 -2.895926337963295859e-03 1.087578258529041941e-01 -2.652582221928917201e-03 -3.163853726703503844e-01 -6.496198597604436542e-04 1.017886532702577673e-01 -5.316375645229644009e-01 3.690842431073272645e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.735241238677739162e+00 3.201966736670007752e+00 6.200127105063421240e+00 6.975874679877084539e+00 0.000000000000000000e+00 1.160398018348436366e+00 1.101198016104553190e+01 1.130881587565134438e+01 2.410931860714829342e-06 2.774664855304125087e-04 9.186842441507231394e-02 3.293893910470883091e-01 4.107611859216233063e-01 6.516018945946107192e-03 5.864378719337950407e-01 1.021701773798931123e+00 1.136530482511048046e+00 -2.747383888640351352e-03 1.037544346232576881e-01 -2.288154247822107856e-01 6.238518621348098092e-01 4.576151736555397385e-04 4.679521933786090493e-02 -2.540572866065093915e-01 -2.094070490486295844e-01 -3.091892478415591596e-03 1.076684676494186199e-01 -1.150128945772694146e-03 -3.067803860546743366e-01 -3.252197680832726642e-03 1.036740995931185322e-01 -5.311673468351985061e-01 3.728128614207491115e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
